Price,Location,Size,Bedrooms,Bathrooms,Tenure,Property_Type,Barbeque area,Club house,Gymnasium,Jogging Track,Lift,Minimart,Multipurpose hall,Parking,Playground,Sauna,Security,Squash Court,Swimming Pool,Tennis Court
285000,Puchong,852,3,2,Leasehold,Apartment,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220000,Petaling Jaya,650,3,2,Leasehold,Flat,0,0,0,0,1,0,0,1,0,0,0,0,0,0
230000,Kajang,957,3,2,Freehold,Apartment,1,0,0,0,1,0,0,1,1,0,1,0,1,0
390000,Ampang,1210,3,2,Freehold,Condominium,0,0,1,0,0,1,0,1,1,0,1,0,1,0
445000,Petaling Jaya,1143,4,2,Leasehold,Condominium,0,0,0,0,1,0,0,1,1,0,1,0,1,1
465000,Ampang,1500,3,2,Leasehold,Condominium,1,0,1,0,1,0,0,1,1,0,1,0,1,0
239000,Kajang,550,2,1,Freehold,Service Residence,1,1,1,1,1,1,1,1,1,1,1,1,1,1
290000,Ampang,850,3,2,Freehold,Apartment,0,0,1,0,1,1,1,1,1,0,1,0,1,0
125000,Klang,785,3,2,Freehold,Apartment,0,0,0,1,0,0,0,0,0,0,0,0,0,0
350000,Petaling Jaya,775,3,2,Leasehold,Apartment,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345000,Kajang,1288,3,2,Freehold,Condominium,1,0,1,1,1,0,1,1,1,0,1,0,1,0
150000,Seri Kembangan,767,3,2,Freehold,Flat,0,0,0,0,0,1,0,1,1,0,0,0,0,0
140000,Puchong,650,3,2,Freehold,Apartment,0,0,0,0,0,0,0,1,1,0,1,0,0,0
188000,Kajang,850,2,2,Freehold,Apartment,0,0,0,0,0,0,0,1,0,0,0,0,0,0
475000,Petaling Jaya,1312,3,2,Freehold,Apartment,0,0,0,0,0,0,0,1,1,0,1,0,0,0
220000,Damansara Perdana,850,3,2,Freehold,Apartment,0,0,0,0,1,1,0,1,1,0,1,0,0,0
430000,Bandar Mahkota Cheras,1396,4,2,Freehold,Condominium,1,0,1,1,1,1,1,1,1,1,1,0,1,0
390000,Kelana Jaya,1200,3,2,Freehold,Condominium,1,0,1,0,0,0,0,0,0,0,0,1,0,0
265000,Setia Alam,486,1,1,Freehold,Service Residence,0,0,1,1,1,0,1,1,0,1,1,0,1,1
125000,Kajang,650,3,2,Freehold,Apartment,0,0,0,0,0,0,0,0,1,0,0,0,0,0
199000,Cyberjaya,450,1,1,Freehold,Service Residence,1,0,1,0,0,0,1,1,1,1,1,0,1,0
330000,Shah Alam,1100,3,2,Leasehold,Apartment,1,0,0,1,0,0,0,1,1,0,1,0,0,1
225000,Semenyih,860,3,2,Freehold,Service Residence,1,0,1,1,1,0,1,1,1,0,1,0,1,0
125000,Seri Kembangan,682,3,2,Leasehold,Apartment,0,0,0,0,0,1,0,1,1,0,0,0,0,0
220000,Shah Alam,850,3,2,Leasehold,Condominium,0,0,0,0,0,0,0,1,1,0,1,0,1,0
1380000,Damansara Perdana,2652,4,4,Leasehold,Condominium,1,0,1,1,1,0,0,1,1,1,1,1,1,1
357000,Bangi,1044,3,3,Freehold,Service Residence,1,0,1,1,0,0,1,1,1,0,1,0,1,0
330000,Kota Damansara,859,3,2,Leasehold,Apartment,0,0,0,0,0,0,0,1,1,0,1,0,0,0
120000,Semenyih,650,3,2,Freehold,Flat,0,0,0,0,0,0,0,0,1,0,0,0,0,0
290000,Gombak,557,3,2,Freehold,Service Residence,0,0,1,0,1,0,1,1,1,0,1,0,1,0
360000,Bandar Sri Damansara,807,3,2,Freehold,Apartment,0,0,0,0,0,0,0,1,1,0,1,0,0,0
375000,Cyberjaya,650,2,1,Freehold,Service Residence,0,1,1,1,1,0,1,1,1,1,1,0,1,0
395000,Shah Alam,951,3,2,Leasehold,Apartment,1,0,1,1,1,0,1,1,1,1,1,0,1,0
360000,Selayang,674,2,2,Leasehold,Service Residence,1,0,0,0,0,0,0,1,0,0,0,0,1,0
579000,Shah Alam,1170,4,3,Leasehold,Condominium,1,0,1,1,1,1,1,1,1,1,1,1,1,0
345000,Kajang,1045,3,3,Freehold,Apartment,0,1,0,1,1,0,0,1,1,0,1,0,1,0
580000,Shah Alam,1170,4,3,Leasehold,Condominium,1,0,1,1,1,1,1,1,1,1,1,1,1,0
280000,Semenyih,1007,3,2,Freehold,Condominium,1,0,1,0,1,0,1,1,1,0,1,0,1,0
229000,Klang,883,3,2,Freehold,Apartment,0,0,0,1,0,0,0,0,1,0,1,0,1,0
310000,Setia Alam,940,3,2,Freehold,Apartment,1,0,1,1,1,1,1,1,1,0,1,0,1,0
260000,Shah Alam,736,3,2,Freehold,Apartment,0,0,1,1,1,1,1,1,0,1,1,1,1,0
225000,Kajang,992,3,2,Freehold,Apartment,0,0,0,0,0,0,0,1,1,0,1,0,0,0
255000,Kajang,955,3,2,Leasehold,Apartment,0,0,0,0,1,1,0,1,1,0,1,0,1,0
250000,Puchong,800,3,2,Leasehold,Condominium,0,0,1,1,1,0,1,1,1,0,1,0,1,0
310000,Batu Caves,1012,3,2,Freehold,Service Residence,1,0,1,0,1,1,0,0,0,1,1,0,1,0
179000,Kajang,811,3,2,Freehold,Flat,0,0,0,0,0,0,0,1,0,0,0,0,0,0
370000,Cheras,917,3,2,Freehold,Apartment,0,0,0,0,0,0,0,1,0,0,1,0,0,0
350000,Petaling Jaya,940,3,2,Freehold,Apartment,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230000,Kundang,1290,4,3,Leasehold,Apartment,0,0,0,1,0,1,1,1,1,0,1,0,1,0
139000,Klang,750,3,2,Freehold,Apartment,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335000,Dengkil,1078,3,2,Freehold,Townhouse Condo,1,0,0,1,0,1,1,1,1,0,1,1,0,1
310000,Batu Caves,1100,3,2,Leasehold,Condominium,1,0,1,1,0,0,1,0,1,1,0,0,1,0
273300,Port Klang,872,3,2,Freehold,Service Residence,1,1,1,1,1,1,1,1,1,1,1,1,1,1
290000,Ampang,833,3,2,Leasehold,Apartment,1,1,1,1,1,1,1,1,1,0,1,1,1,1
135000,Puchong,606,3,2,Leasehold,Apartment,0,0,0,0,0,0,0,1,0,0,0,0,0,0
110000,Ampang,650,2,1,Leasehold,Flat,0,0,0,0,0,0,0,0,1,0,0,0,0,0
270000,Shah Alam,800,3,2,Freehold,Apartment,0,0,0,0,0,0,1,1,1,0,1,0,0,1
508000,Seri Kembangan,1200,3,3,Freehold,Service Residence,0,0,1,0,1,1,1,1,1,1,1,0,1,0
378000,Petaling Jaya,450,2,1,Leasehold,Service Residence,1,0,1,1,1,0,1,1,1,0,1,0,1,0
379999,Batu Caves,1260,3,2,Leasehold,Condominium,1,0,1,1,0,0,1,0,1,1,0,0,1,0
430000,Bandar Kinrara,1110,3,2,Freehold,Condominium,1,0,1,1,1,1,1,1,1,1,1,0,1,0
600000,Ulu Klang,1258,4,3,Leasehold,Condominium,1,0,1,1,1,0,1,1,1,0,1,0,1,0
69000,Beranang,700,3,2,Freehold,Apartment,0,0,0,0,0,0,0,1,1,0,0,0,0,0
190000,Seri Kembangan,890,3,2,Leasehold,Apartment,0,0,0,0,0,0,0,1,1,0,1,0,0,0
170000,Petaling Jaya,852,3,2,Leasehold,Apartment,0,0,1,0,0,0,1,1,1,0,1,0,1,0
250000,Puchong,850,3,2,Leasehold,Condominium,0,0,1,1,0,0,1,0,1,0,1,0,1,0
75000,Semenyih,540,2,1,Freehold,Flat,0,0,0,0,0,0,0,1,0,0,0,0,0,0
330000,Shah Alam,1100,3,2,Leasehold,Apartment,1,0,0,1,1,1,0,1,1,0,1,0,0,1
290000,Kajang,1044,3,2,Leasehold,Apartment,1,0,0,1,1,1,1,1,1,0,1,1,1,1
425000,Seri Kembangan,1068,3,2,Freehold,Service Residence,0,0,1,0,1,1,1,1,1,1,1,0,1,0
350000,Ampang,1044,3,2,Freehold,Condominium,1,0,0,0,0,0,0,1,1,0,1,0,1,0
399000,Selayang,1139,4,2,Leasehold,Condominium,1,0,1,0,0,0,0,1,1,0,1,0,1,0
395000,Ampang,1076,3,2,Leasehold,Condominium,0,0,0,0,0,0,0,1,1,0,1,0,1,0
650000,Ampang,1394,3,2,Leasehold,Condominium,0,0,1,1,1,0,0,1,1,0,1,0,1,0
300000,Damansara Perdana,850,4,2,Leasehold,Apartment,0,0,0,0,1,1,0,1,1,0,1,0,0,0
460000,Petaling Jaya,799,3,2,Leasehold,Service Residence,1,1,1,1,1,1,1,1,1,1,1,1,1,1
398000,Petaling Jaya,718,2,1,Leasehold,Service Residence,1,0,1,1,1,1,1,1,1,1,1,1,1,0
260000,Batu Caves,816,3,2,Leasehold,Apartment,0,0,1,0,1,1,0,1,1,0,1,0,1,0
380000,Kajang,1011,3,2,Freehold,Condominium,1,1,1,1,1,0,0,1,1,1,1,0,1,0
450000,Cheras,678,2,2,Freehold,Apartment,1,0,1,0,1,1,1,1,1,1,1,0,1,0
165000,Klang,650,3,2,Freehold,Flat,0,0,0,0,0,0,0,1,1,0,0,0,0,0
259000,Cheras,550,2,1,Freehold,Apartment,1,1,1,1,1,1,1,1,1,1,1,1,1,1
295000,Semenyih,850,3,2,Freehold,Apartment,0,0,0,0,0,1,0,1,1,0,1,0,0,0
239000,Klang,883,3,2,Freehold,Apartment,0,0,0,1,0,0,0,0,1,0,1,0,1,0
250000,Cheras,550,2,1,Freehold,Service Residence,1,1,1,1,1,1,1,1,1,1,1,1,1,1
399000,Cyberjaya,958,3,2,Freehold,Condominium,1,1,1,1,1,1,1,1,1,1,1,1,1,1
250000,Ampang,550,2,1,Freehold,Condominium,1,1,1,1,1,1,1,1,1,1,1,1,1,1
275000,Puchong,1050,3,2,Leasehold,Apartment,0,0,0,0,0,0,0,1,1,0,1,0,1,0
315000,Klang,1070,3,2,Freehold,Condominium,1,0,1,0,0,1,1,1,1,0,1,0,1,1
170000,Puchong,680,3,2,Freehold,Apartment,0,0,0,0,0,1,0,1,1,0,0,0,0,0
330000,Setia Alam,920,3,2,Freehold,Apartment,0,0,1,0,0,0,1,1,1,0,1,0,1,0
180000,Shah Alam,605,2,1,Freehold,Flat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315000,Kajang,929,2,2,Freehold,Service Residence,1,1,1,1,1,1,0,1,1,1,1,0,1,1
298000,Port Klang,900,3,2,Freehold,Apartment,0,0,0,0,0,0,1,1,1,0,1,0,0,0
388000,Petaling Jaya,718,2,1,Leasehold,Service Residence,1,1,1,1,1,1,1,1,1,1,1,1,1,0
200000,Petaling Jaya,700,3,2,Leasehold,Apartment,0,0,0,0,1,1,0,1,1,0,0,0,0,0
369000,Damansara Damai,759,3,2,Leasehold,Service Residence,1,1,1,0,1,0,0,1,1,1,1,0,1,1
295000,Setia Alam,830,3,2,Freehold,Apartment,0,0,0,0,0,0,0,1,1,0,1,0,1,0
238500,Semenyih,1148,3,2,Freehold,Apartment,0,0,0,0,1,0,0,1,1,0,1,0,0,0
220000,Kajang,895,3,2,Freehold,Apartment,0,0,0,0,1,1,0,1,0,0,1,0,0,0
700000,Ampang,1073,3,3,Leasehold,Condominium,1,0,1,0,1,0,1,1,1,1,1,1,1,0
430000,Bandar Sri Damansara,916,3,2,Freehold,Condominium,1,0,0,0,0,0,1,1,1,0,1,0,1,0
260000,Puchong,815,3,2,Freehold,Apartment,1,0,0,0,1,0,0,1,1,0,1,0,0,0
240000,Ampang,810,3,2,Leasehold,Apartment,1,0,0,0,0,0,0,1,1,0,1,0,0,0
228000,Cheras,900,3,2,Leasehold,Apartment,0,0,0,1,1,0,0,0,1,0,1,0,1,0
450000,Petaling Jaya,799,3,2,Leasehold,Service Residence,0,0,0,1,1,0,0,1,1,0,1,0,1,0
95659,Petaling Jaya,600,3,2,Leasehold,Apartment,0,0,0,0,0,1,0,0,1,0,0,0,0,0
108000,Kajang,650,2,1,Freehold,Apartment,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750000,Kelana Jaya,750,2,2,Freehold,Service Residence,1,0,1,1,1,0,0,1,1,1,1,0,1,0
115000,Kajang,650,3,2,Freehold,Flat,0,0,0,0,0,1,0,1,1,0,0,0,0,0
179999,Puchong,1076,4,2,Leasehold,Condominium,0,0,0,0,1,1,0,1,1,0,1,0,1,0
315000,Klang,987,3,2,Freehold,Apartment,1,1,1,1,1,0,1,1,1,0,0,0,1,0
530000,Bandar Saujana Putra,1102,3,2,Leasehold,Service Residence,0,0,0,0,0,0,0,0,0,0,0,1,0,1
210000,Shah Alam,778,3,2,Leasehold,Apartment,0,0,0,0,1,0,0,1,1,0,1,0,0,0
170000,Seri Kembangan,865,3,2,Leasehold,Condominium,1,1,0,1,1,0,0,1,1,0,1,0,0,0
174000,Shah Alam,743,2,1,Leasehold,Flat,0,0,0,0,0,0,0,1,1,0,0,0,0,0
120000,Puchong,700,3,2,Leasehold,Apartment,0,0,0,0,0,0,0,1,1,0,1,0,0,0
310000,Shah Alam,1000,3,2,Freehold,Apartment,0,0,0,0,1,0,0,1,1,0,1,0,0,0
300000,Bandar Saujana Putra,1004,3,2,Freehold,Service Residence,1,0,1,1,1,1,1,1,1,0,1,1,1,0
258000,Semenyih,950,3,2,Freehold,Apartment,0,0,1,1,1,1,1,1,1,0,1,0,1,0
275000,Selayang,915,3,2,Leasehold,Condominium,0,0,1,1,1,0,0,1,1,1,1,0,1,0
270000,Kajang,850,3,2,Leasehold,Condominium,0,0,1,0,0,1,0,1,1,0,1,0,1,0
280000,Subang Jaya,878,3,2,Freehold,Service Residence,1,0,1,1,1,0,1,1,0,1,1,1,1,0
160000,Puchong,799,3,2,Leasehold,Apartment,0,0,0,0,0,0,0,1,1,0,1,0,0,0
45000,Bukit Beruntung,650,3,2,Leasehold,Apartment,0,0,0,0,0,1,0,1,1,0,0,0,0,0
380000,Shah Alam,1231,2,2,Leasehold,Condominium,0,0,1,0,0,1,0,1,1,0,1,0,1,1
320000,Puchong,818,3,2,Freehold,Apartment,0,0,0,0,0,0,0,1,1,0,0,0,0,0
245000,Puchong,850,3,2,Leasehold,Condominium,0,0,1,1,0,0,1,0,1,0,1,0,1,0
380000,Cyberjaya,1100,3,2,Freehold,Condominium,1,1,1,1,1,1,1,1,1,1,1,1,1,1
380000,Cyberjaya,1100,3,2,Freehold,Condominium,1,1,1,1,1,1,1,1,1,1,1,1,1,1
390000,Cyberjaya,1100,3,2,Freehold,Condominium,1,1,1,1,1,1,1,1,1,1,1,1,1,1
590000,Petaling Jaya,1300,3,2,Leasehold,Condominium,0,0,1,0,1,1,0,1,1,0,1,0,1,0
240000,Petaling Jaya,748,3,2,Leasehold,Flat,0,0,0,0,0,1,0,1,1,0,0,0,0,0
265000,Semenyih,860,3,2,Freehold,Condominium,0,0,1,0,1,0,1,1,1,0,1,0,1,0
360000,Kajang,1305,3,2,Freehold,Apartment,0,0,1,0,1,0,0,1,1,0,1,0,1,0
240000,Puchong,750,3,2,Freehold,Apartment,0,0,0,0,0,1,0,1,1,0,1,0,0,0
230000,Kundang,1290,4,3,Leasehold,Apartment,0,0,0,1,0,1,1,1,1,0,1,0,1,0
220000,Cyberjaya,530,1,1,Freehold,Condominium,0,0,0,0,1,1,0,1,0,0,1,0,1,0
119000,Damansara Damai,650,3,2,Leasehold,Apartment,0,0,0,0,0,0,0,1,0,0,0,0,0,0
230000,Seri Kembangan,760,3,2,Leasehold,Apartment,1,0,0,1,1,1,0,1,1,0,1,0,0,0
268000,Klang,850,3,2,Freehold,Condominium,0,0,0,0,0,0,0,1,1,0,1,0,1,0
295000,Semenyih,1072,3,2,Leasehold,Condominium,1,0,1,0,1,1,0,1,1,1,1,1,1,1
65610,Port Klang,768,3,2,Leasehold,Apartment,0,0,0,0,0,0,0,1,0,0,0,0,0,0
370000,Kota Damansara,1040,3,2,Leasehold,Condominium,0,0,0,1,0,1,1,1,1,0,1,0,1,0
230000,Selayang,870,3,2,Leasehold,Apartment,0,0,0,1,1,1,1,1,1,0,1,0,1,0
225000,Petaling Jaya,667,3,2,Freehold,Apartment,0,0,0,0,1,1,0,1,0,0,0,0,0,0
240000,Bangi,750,3,2,Leasehold,Apartment,0,0,0,0,1,0,0,1,1,0,1,0,0,0
200000,Damansara Damai,710,3,2,Leasehold,Apartment,0,0,0,1,0,1,0,1,1,0,1,0,1,0
105300,Seri Kembangan,683,3,2,Leasehold,Flat,0,0,0,0,0,0,0,1,1,0,0,0,0,0
160000,Serendah,850,3,1,Leasehold,Apartment,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145000,Ampang,650,3,2,Leasehold,Flat,0,0,0,0,1,0,0,1,1,0,0,0,0,0
360000,Setia Alam,900,3,2,Freehold,Apartment,0,0,0,1,0,0,0,1,1,0,1,1,1,1
200000,Cheras,752,3,2,Freehold,Apartment,0,0,0,0,1,0,0,1,1,0,0,0,0,0
270000,Cyberjaya,850,3,2,Freehold,Apartment,0,0,1,0,1,0,1,1,1,0,1,0,0,0
200000,Seri Kembangan,800,3,2,Leasehold,Apartment,0,0,0,1,1,1,0,1,1,0,1,0,1,0
210000,Shah Alam,850,3,2,Leasehold,Apartment,0,0,0,0,0,0,0,1,1,0,1,0,0,0
190000,Bangi,750,3,2,Leasehold,Apartment,0,0,0,0,1,0,0,1,1,0,1,0,0,0
170000,Rawang,850,3,2,Leasehold,Apartment,0,0,0,0,1,0,0,1,1,0,1,0,0,0
170000,Rawang,850,3,2,Leasehold,Apartment,0,0,0,0,1,0,0,1,1,0,1,0,0,0
170000,Rawang,850,3,2,Leasehold,Apartment,0,0,0,0,1,0,0,1,1,0,1,0,0,0
90000,Rawang,728,3,2,Leasehold,Flat,0,0,0,0,0,1,0,1,1,0,0,0,0,0
235000,Bangi,874,4,2,Leasehold,Apartment,0,0,0,0,0,0,1,1,1,0,1,0,1,0
280000,Shah Alam,420,2,1,Freehold,Apartment,0,0,0,0,1,0,1,1,1,0,1,0,1,0
275000,Kajang,915,3,3,Freehold,Apartment,0,0,0,0,0,0,0,1,0,0,1,0,0,0
180000,Damansara Damai,671,3,1,Leasehold,Flat,0,0,0,0,0,1,0,0,0,0,0,0,0,0
255000,Semenyih,850,3,2,Freehold,Apartment,0,0,1,1,1,1,1,1,1,1,1,0,1,0
220000,Shah Alam,753,3,2,Freehold,Apartment,0,0,0,0,0,0,0,1,0,0,1,0,0,0
625000,Cheras,1141,3,2,Freehold,Service Residence,0,0,1,1,1,1,1,1,1,1,1,1,1,0
279000,Ampang,850,3,2,Leasehold,Flat,0,0,0,0,1,1,0,1,1,0,1,0,0,0
350000,Shah Alam,1130,3,2,Leasehold,Service Residence,0,0,1,0,0,1,0,1,1,0,1,0,1,0
280000,Setia Alam,900,3,2,Freehold,Apartment,0,0,0,1,0,0,0,1,1,0,1,1,1,1
