Price,Location,Size,Bedrooms,Bathrooms,Property Type,Tenure,24 hours security,Badminton hall,Basketball court,Bbq,Bus stop,Business centre,Cafes,Clubhouse,Community garden,Covered car park,Covered linkways,Drop off point,Eateries,Gym,Jacuzzi,Jogging track,Landscaped garden,Laundry,Lounge,Multi-purpose hall,Multi-storey car park,Nursery,Parking,Perimeter fencing,Pet-friendly facilities,Playground,Recreation lake,Recreation room,Retail stores,Sauna,Sky lounge,Solar panels,Surau,Swimming pool,Tennis courts,Wading pool,Property Tier
255000.0,Ampang,818.0,3.0,2.0,Apartment,Leasehold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Budget
235000.0,Cheras,870.0,3.0,2.0,Apartment,Freehold,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Budget
370000.0,Subang Jaya,1076.0,3.0,2.0,Apartment,Freehold,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mid-range
298000.0,Setia Alam,939.0,3.0,2.0,Apartment,Freehold,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mid-range
240000.0,Petaling Jaya,650.0,3.0,1.0,Apartment,Leasehold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Budget
270000.0,Kota Damansara,770.0,3.0,2.0,Apartment,Leasehold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,Mid-range
200000.0,Puchong,873.0,3.0,2.0,Apartment,Freehold,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,Budget
257000.0,Puchong,969.0,2.0,2.0,Apartment,Freehold,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Budget
280000.0,Puchong,1050.0,3.0,2.0,Apartment,Leasehold,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Budget
650000.0,Sunway,1016.0,3.0,3.0,Apartment,Leasehold,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mid-range
213000.0,Rawang,850.0,3.0,2.0,Apartment,Leasehold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Budget
310000.0,Cheras,900.0,3.0,2.0,Apartment,Freehold,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Budget
469000.0,Subang Jaya,915.0,3.0,2.0,Apartment,Freehold,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mid-range
490000.0,Subang Jaya,915.0,3.0,2.0,Apartment,Freehold,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mid-range
350000.0,Subang Jaya,915.0,3.0,2.0,Apartment,Freehold,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mid-range
