Price,Location,Posted,Size (sqft),Bedrooms,Bathrooms,Property Type,Tenure,URL
"RM 597,000
Starting from","Senna Puteri, Bandar Baru Salak Tinggi, Sepang, Selangor","Listed on Feb 13, 2025 (6mo ago)","1,690 sqft",3 Beds,3 Baths,Townhouse,Leasehold,https://www.propertyguru.com.my/property-listing/project/aurelia-for-sale-by-pilihan-teraju-sdn-bhd-42050655#5713
"RM 459,900 - RM 587,900","KITA @ Cybersouth, Dengkil, Selangor","Listed on Jan 31, 2025 (6mo ago)","1,346 sqft - 1,483 sqft",3 Beds,2 Baths,Townhouse,,https://www.propertyguru.com.my/property-listing/project/kita-bestari-townhouse-for-sale-by-seloka-sinaran-sdn-bhd-39109286#5080
"RM 588,000 - RM 891,000","Antara Gapi, Serendah, Selangor","Listed on Apr 16, 2025 (4mo ago)","1,708 sqft - 1,872 sqft",4 Beds,3 Baths,Completion: 2026,Leasehold,https://www.propertyguru.com.my/property-listing/project/pkns-ixora-for-sale-by-perbadanan-kemajuan-negeri-selangor-pkns-43089628?pixelUrl=https%3A%2F%2Fe-11135.adzerk.net%2Fe.gif%3Fe%3DeyJ2IjoiMS4xMyIsImF2Ijo2MDQ5ODQ1LCJhdCI6MTYzLCJidCI6MCwiY20iOjYzMjI4ODY5MSwiY2giOjU5NTM0LCJjayI6e30sImNyIjo3MTE2NTMxODAsImRpIjoiZmNhYjc1NjVjNGM2NDUxZGFkN2I4YWU1OWQ5NmI2NmQiLCJkaiI6MiwiaWkiOiIwNWFlM2I4OGEyZGQ0NjJiOGJhZDE2YmQxOWNiZmRiYiIsImRtIjozLCJmYyI6ODg1OTM2Njc3LCJmbCI6ODM1MTAyOTU3LCJpcCI6IjYwLjQ4LjE2OC45MyIsImt3IjoiNDVuazEsbGlzdGluZy1yZXNpZGVudGlhbCxsaXN0aW5nLXNhbGUtcHJvcC10IiwibWsiOiJsaXN0aW5nLXNhbGUtcHJvcC10LDQ1bmsxIiwibnciOjExMTM1LCJwYyI6MjUwMCwib3AiOjI1MDAsIm1wIjoyNTAwLCJlYyI6MjUwMCwiZ20iOjAsImVwIjpudWxsLCJwciI6MjM1NzE0LCJydCI6MiwicnMiOjUwMCwic2EiOiI4MSIsInNiIjoiaS0wOGZkNGE1MzBlYzA2NzliMCIsInNwIjozNTc2MTcsInN0IjoxMjM0NTU1LCJ1ayI6IjI5OTJjNDMwLTExZDItNGRmZS1iN2JlLTZhNjQ2OTE5Y2NjNiIsInRzIjoxNzU1MjQzMTk2NjcxLCJiZiI6dHJ1ZSwicG4iOiIxLTItMy00LTUiLCJnYyI6dHJ1ZSwiZ0MiOnRydWUsImdzIjoibm9uZSIsInR6IjoiQXNpYS9TaW5nYXBvcmUiLCJmY3BjIjpmYWxzZSwiZXQiOjIwNX0%26s%3DH09BFyiUhAJ3fRxCTjwaWOBTUdo#11478
"RM 1,041,000 - RM 1,211,000","16 Sierra, Puchong, Selangor","Listed on Jan 22, 2025 (6mo ago)","2,110 sqft",3 Beds,3 Baths,Townhouse,Leasehold,https://www.propertyguru.com.my/property-listing/project/oakleaf-3-storey-townhouse-for-sale-by-lush-development-sdn-bhd-42306997#5936
"RM 380,000","Taman Bukit Teratai, Taman Bukit Teratai, Ampang, Selangor","Listed on Aug 15, 2025 (50m ago)",710 sqft,2 Beds,2 Baths,Townhouse,Leasehold,https://www.propertyguru.com.my/property-listing/taman-bukit-teratai-for-sale-by-jamie-loke-60365781
"RM 380,000","Taman Cempaka, Ampang, Selangor","Listed on Aug 15, 2025 (1h ago)",905 sqft,3 Beds,2 Baths,Townhouse,Leasehold,https://www.propertyguru.com.my/property-listing/pinggiran-cempaka-townhouse-ampang-for-sale-by-fiza-ibrahim-60365742
"RM 470,000","alan BP 11, Jalan BP11, Jalan BP 10, Jalan BP10, Bandar Bukit Puchong 2, Puchong, Selangor","Listed on Aug 15, 2025 (2h ago)","1,259 sqft (floor),",3 Beds,2 Baths,Townhouse,Freehold,https://www.propertyguru.com.my/property-listing/park-villa-for-sale-by-ms-sim-43010510
"RM 475,000","Jalan BP 11, Bandar Bukit Puchong, Puchong, Selangor","Listed on Aug 15, 2025 (2h ago)","1,560 sqft (floor),",3 Beds+1,2 Baths,Townhouse,Freehold,https://www.propertyguru.com.my/property-listing/park-villa-for-sale-by-ms-sim-500007913
"RM 480,000","Jalan BP 11, Jalan BP11, Jalan BP 10, Jalan BP10, Bandar Bukit Puchong 2, Puchong, Selangor","Listed on Aug 15, 2025 (2h ago)","1,560 sqft (floor),",3 Beds,2 Baths,Townhouse,Freehold,https://www.propertyguru.com.my/property-listing/park-villa-for-sale-by-ms-sim-43033407
"RM 480,000","Jalan BP11, BP 11, BP 10, BP10, Bandar Bukit Puchong 2, Puchong, Selangor","Listed on Aug 15, 2025 (2h ago)","1,560 sqft (floor),",3 Beds,2 Baths,Townhouse,Freehold,https://www.propertyguru.com.my/property-listing/park-villa-for-sale-by-ms-sim-43329944
"RM 600,000","Kuala Selangor, Selangor","Listed on Aug 15, 2025 (2h ago)","1,750 sqft (floor),",4 Beds,3 Baths,Townhouse,,https://www.propertyguru.com.my/property-listing/saujana-perdana-for-sale-by-nafis-hashim-43203445
"RM 590,000","Persiaran Sungai Keramat, Taman Klang Utama, Klang, Selangor","Listed on Aug 15, 2025 (3h ago)","1,700 sqft (floor),",4 Beds,3 Baths,Townhouse,Freehold,https://www.propertyguru.com.my/property-listing/taman-klang-utama-for-sale-by-teresa-teng-60006447
"RM 450,000","Ehsan Residence Sepang, Sepang, Selangor","Listed on Aug 15, 2025 (3h ago)","2,000 sqft",4 Beds,3 Baths,Completion: 2017,Freehold,https://www.propertyguru.com.my/property-listing/ehsan-residence-for-sale-by-chrix-soo-42793361
"RM 420,000","Cybersouth, Dengkil, Selangor","Listed on Aug 15, 2025 (4h ago)","1,480 sqft",4 Beds,2 Baths,Townhouse,,https://www.propertyguru.com.my/property-listing/kita-bayu-for-sale-by-shahidan-ismail-42928955
"RM 890,000","Damansara Damai, Petaling Jaya, Selangor","Listed on Aug 15, 2025 (5h ago)","2,718 sqft",4 Beds,4 Baths,Completion: 2017,Leasehold,https://www.propertyguru.com.my/property-listing/the-vale-sutera-damansara-for-sale-by-bryan-ching-42088979
"RM 360,000","- Persiaran Multimedia, Cyber 11, Cyberjaya, Selangor","Listed on Aug 15, 2025 (5h ago)","1,916 sqft",3 Beds,2 Baths,Completion: 2002,Freehold,https://www.propertyguru.com.my/property-listing/cyberia-smart-homes-for-sale-by-jamie-loke-60364734
"RM 700,000","Jalan Kristal, Shah Alam, Selangor","Listed on Aug 15, 2025 (6h ago)","2,118 sqft",4 Beds,4 Baths,Completion: 2013,Leasehold,https://www.propertyguru.com.my/property-listing/aqua-villa-for-sale-by-jumidah-jue-60364643
"RM 450,000","Seksyen 9, Shah Alam, Selangor","Listed on Aug 15, 2025 (6h ago)","2,196 sqft (floor),",4 Beds,4 Baths,Completion: 2004,Leasehold,https://www.propertyguru.com.my/property-listing/4-rooms-2196sqft-duplex-sri-mahligai-townhouse-seksyen-9-shah-alam-for-sale-by-norfazilah-binti-mohd-saad-43231478
