Price,Location,Posted,Size (sqft),Bedrooms,Bathrooms,Property Type,Tenure,URL
"RM 460,000","Jalan Kia Peng, KLCC, KL City Centre, Kuala Lumpur","Listed on Aug 13, 2025 (2d ago)","1,110 sqft",2 Beds,2 Baths,Completion: 2023,Freehold,https://www.propertyguru.com.my/property-listing/imperial-lexis-for-sale-by-kevin-ooi-42638734
"RM 1,950,000","Jalan Kia Peng, KLCC, KL City Centre, Kuala Lumpur","Listed on Aug 12, 2025 (2d ago)",848 sqft,2 Beds,2 Baths,Completion: 2023,Freehold,https://www.propertyguru.com.my/property-listing/imperial-lexis-for-sale-by-yc-wong-42188424
"RM 460,000","Suria @ North Kiara Jalan 30/38a, Segambut, Kuala Lumpur","Listed on Aug 12, 2025 (2d ago)",713 sqft,2 Beds,2 Baths,Completion: 2018,Freehold,https://www.propertyguru.com.my/property-listing/suria-north-kiara-for-sale-by-esther-chan-60355511
"RM 460,000","Platinum South Valley, Bandar Tasik Selatan, Kuala Lumpur","Listed on Aug 11, 2025 (4d ago)","1,087 sqft",4 Beds,2 Baths,Completion: 2028,Leasehold,https://www.propertyguru.com.my/property-listing/psv-2-residences-for-sale-by-william-chan-60282788
"RM 205,000","Jalan Landai Permai, Sungai Besi, Kuala Lumpur","Listed on Aug 10, 2025 (5d ago)",645 sqft,3 Beds,2 Baths,Apartment,Leasehold,https://www.propertyguru.com.my/property-listing/pangsapuri-permai-for-sale-by-niko-swee-43291881
"RM 299,000","Jalan 1/27, Setapak, Kuala Lumpur","Listed on Aug 11, 2025 (4d ago)",862 sqft,3 Beds,2 Baths,Apartment,Leasehold,https://www.propertyguru.com.my/property-listing/apartment-dahlia-for-sale-by-chris-tye-60084251
Price on ask,"Lot 127, Jalan 1/86 Off Jalan Syed Putra, Taman Seputeh, Seputeh, Kuala Lumpur","Listed on Aug 08, 2025 (1w ago)",,,,Apartment,Leasehold,https://www.propertyguru.com.my/property-listing/project/j-rayon-residences-for-sale-by-multi-access-assets-sdn-bhd-60281755#11813
"RM 300,000
Starting from","Kampung Kerinchi (Bangsar South), Kuala Lumpur","Listed on May 07, 2025 (3mo ago)",802 sqft,3 Beds,2 Baths,Apartment,Leasehold,https://www.propertyguru.com.my/property-listing/project/ria-bangsar-south-for-sale-by-malton-berhad-43085059#11481
"RM 340,888
Starting from","Kiara Bay, Kepong, Kuala Lumpur","Listed on Mar 20, 2025 (4mo ago)",450 sqft,,1 Bath,Completion: 2027,Leasehold,https://www.propertyguru.com.my/property-listing/project/residensi-zig-for-sale-by-uem-sunrise-berhad-melati-ehsan-group-38930243#5036
"RM 377,000
Starting from","33 Jalan Kampung Kuantan, Gombak, Kuala Lumpur","Listed on Feb 17, 2025 (5mo ago)",650 sqft,2 Beds,2 Baths,Completion: 2028,Freehold,https://www.propertyguru.com.my/property-listing/project/mhp-3-residences-for-sale-by-mhp3-sdn-bhd-39748454#5161
"RM 868,000
Starting from","Papyrus North Kiara Sales Gallery No.3, Jalan Dutamas Dahlia, Mont Kiara, Kuala Lumpur","Listed on Feb 16, 2025 (5mo ago)","1,141 sqft",4 Beds,3 Baths,Completion: 2028,Freehold,https://www.propertyguru.com.my/property-listing/project/papyrus-north-kiara-for-sale-by-yakin-land-sdn-bhd-40570920#5306
"RM 300,000
Starting from","Jalan Jubilee, Pudu, KL City Centre, Kuala Lumpur","Listed on Jan 22, 2025 (6mo ago)",810 sqft,3 Beds,2 Baths,Completion: 2028,Leasehold,https://www.propertyguru.com.my/property-listing/project/residensi-akasia-raya-for-sale-by-uda-accord-development-sdn-bhd-42808694#11031
"RM 512,000
Starting from","Platinum South Valley, Bandar Tasik Selatan, Kuala Lumpur","Listed on Dec 31, 2024 (7mo ago)",947 sqft,3 Beds,2 Baths,Completion: 2028,Leasehold,https://www.propertyguru.com.my/property-listing/project/psv-2-residences-for-sale-by-pembinaan-serta-hebat-sdn-bhd-42333578#5965
"RM 380,700 - RM 592,000","Dedaun Residensi, Jalan Suadamai 10/1, Bandar Tun Hussein Onn, Cheras, Kuala Lumpur","Listed on Nov 28, 2024 (8mo ago)",850 sqft,3 Beds,2 Baths,Completion: 2023,Freehold,https://www.propertyguru.com.my/property-listing/project/dedaun-residensi-for-sale-by-uda-land-sdn-bhd-39726607#11003
"RM 149,000","Jalan 8/40, Segambut, Kuala Lumpur","Listed on Aug 15, 2025 (4m ago)",855 sqft,3 Beds,2 Baths,Apartment,Leasehold,https://www.propertyguru.com.my/property-listing/greenview-apartment-for-sale-by-tiffany-meng-60366294
"RM 1,000,000","- Jalan Tengah, KLCC, KL City Centre, Kuala Lumpur","Listed on Aug 15, 2025 (13m ago)","1,141 sqft",3 Beds,3 Baths,Completion: 2012,Freehold,https://www.propertyguru.com.my/property-listing/st-mary-residences-for-sale-by-jason-tang-60366214
"RM 320,000","33 Jalan Kampung Kuantan, Gombak, Kuala Lumpur","Listed on Aug 15, 2025 (15m ago)",950 sqft,3 Beds,3 Baths,Completion: 2028,Freehold,https://www.propertyguru.com.my/property-listing/mhp-3-residences-for-sale-by-eugine-kang-42328419
