Price,Location,Posted,Size (sqft),Bedrooms,Bathrooms,Property Type,Tenure,URL
"RM 3,980,000","Bandar Baru Sri Petaling, Sri Petaling, Kuala Lumpur","Listed on Aug 14, 2025 (1d ago)","6,000 sqft (floor),",7 Beds,7 Baths,Semi-Detached House,Leasehold,https://www.propertyguru.com.my/property-listing/seri-petaling-semi-detached-bungalow-for-sale-for-sale-by-mike-tung-31894698
"RM 2,680,000","Jalan Pinggiran Tasik, Sungai Besi, Kuala Lumpur","Listed on Aug 14, 2025 (1d ago)","4,435 sqft (floor),",5 Beds,5 Baths,Completion: 2014,Leasehold,https://www.propertyguru.com.my/property-listing/the-grove-sungai-besi-for-sale-by-mike-tung-30428724
"RM 3,000,000","Cheras, Kuala Lumpur","Listed on Aug 14, 2025 (1d ago)","5,500 sqft (floor),",7 Beds,6 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/bukit-segar-for-sale-by-davic-yap-42000828
"RM 1,800,000","OUG Happy Garden, Taman Overseas Union (Taman Oug), Jalan Klang Lama (Old Klang Road), Kuala Lumpur","Listed on Aug 14, 2025 (1d ago)","3,400 sqft (floor),",4 Beds,4 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/oug-for-sale-by-jimmy-ng-43130482
"RM 2,600,000","Taman Yarl, Jalan Klang Lama (Old Klang Road), Kuala Lumpur","Listed on Aug 14, 2025 (1d ago)","3,800 sqft (floor),",5 Beds,5 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/old-klang-road-for-sale-by-lucas-lim-500023516
"RM 3,150,000","Jalan 6/4, Taman Melawati, Ulu Kelang, Kuala Lumpur","Listed on Aug 14, 2025 (1d ago)","4,166 sqft (floor),",5 Beds,6 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/sunway-montana-for-sale-by-eling-loo-43254148
"RM 3,200,000","Jalan 6/4, Taman Melawati, Ulu Kelang, Kuala Lumpur","Listed on Aug 14, 2025 (1d ago)","4,166 sqft (floor),",4 Beds,5 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/sunway-montana-for-sale-by-eling-loo-43234350
"RM 3,088,000","Jalan H, Taman Melawati, Ulu Kelang, Kuala Lumpur","Listed on Aug 14, 2025 (1d ago)","6,800 sqft (floor),",8 Beds,6 Baths,Semi-Detached House,,https://www.propertyguru.com.my/property-listing/taman-melawati-for-sale-by-eling-loo-43215034
"RM 3,000,000","Dutamas, Kuala Lumpur","Listed on Aug 14, 2025 (1d ago)","4,000 sqft (floor),",6 Beds,4 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/changkat-kiara-surya-dutamas-for-sale-by-margaret-than-42722078
"RM 2,880,000","Jalan Wangsamas, Wangsa Maju, Kuala Lumpur","Listed on Aug 14, 2025 (1d ago)","4,700 sqft (floor),",6 Beds,6 Baths,Semi-Detached House,Leasehold,https://www.propertyguru.com.my/property-listing/bukit-wangsamas-for-sale-by-tony-lin-43202981
"RM 1,700,000","Jalan 6/4, Taman Melawati, Ulu Kelang, Kuala Lumpur","Listed on Aug 14, 2025 (1d ago)","2,793 sqft",5 Beds,5 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/sunway-montana-for-sale-by-haikal-hakim-60360940
"RM 3,000,000","Jln Damai Impian, Alam Damai, Cheras, Kuala Lumpur","Listed on Aug 14, 2025 (1d ago)","5,400 sqft (floor),",8 Beds,7 Baths,Semi-Detached House,Leasehold,https://www.propertyguru.com.my/property-listing/damai-impian-for-sale-by-miky-kum-60360813
"RM 1,700,000","Jalan Permata 23, Taman Melawati, Ulu Kelang, Kuala Lumpur","Listed on Aug 14, 2025 (1d ago)","3,930 sqft (floor),",5 Beds,4 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/taman-permata-ulu-kelang-for-sale-by-farhan-42272314
