Price,Location,Posted,Size (sqft),Bedrooms,Bathrooms,Tenure,URL,Facilities
"RM 123,000","Pangsapuri PKNS, Ampang","Flat For Sale, listed 19 minutes ago",538,2,1,Freehold,https://www.mudah.my/pangsapuri-pkns-ampang-538sf-100-loan-0-down-p-below-market-111280556.htm,Parking
"RM 800,000","The Parque Residences @ Eco Sanctuary, Kota Kemuning","Condominium For Sale, listed 20 minutes ago","1,388",3,2,Leasehold,https://www.mudah.my/the-parque-residence-kota-kemuning-eco-sanctuary-110205021.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall, Club house, Jogging Track"
"RM 260,000","Kenaria Condominium, Kajang","Condominium For Sale, listed 20 minutes ago",840,3,3,Leasehold,https://www.mudah.my/kenaria-kondo-kajang-taman-sri-kenari-condo-rumah-cantik-111280544.htm,"Parking, Security, Swimming Pool, Playground, Gymnasium, Minimart"
"RM 180,000","Pangsapuri Sri Mutiara, Ampang","Apartment For Sale, listed 22 minutes ago",650,3,2,Freehold,https://www.mudah.my/freehold-renoveted-pangsapuri-sri-mutiara-taman-ukay-bistari-ampang-111280336.htm,Parking
"RM 200,000","Pangsapuri Seri Saujana (Saujana Putra), Bandar Saujana Putra","Apartment For Sale, listed 22 minutes ago",750,3,2,Leasehold,https://www.mudah.my/ground-floor-corner-seri-saujana-apartment-bandar-saujana-putra-111280517.htm,"Security, Playground"
"RM 360,000","Symphony Tower, Balakong","Service Residence For Sale, listed 22 minutes ago",951,3,2,Freehold,https://www.mudah.my/symphony-tower-balakong-near-c180-111101667.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall, Jogging Track"
"RM 438,000","Pelangi Utama, Bandar Utama","Condominium For Sale, listed 23 minutes ago",920,3,2,Leasehold,https://www.mudah.my/100-loan-pelangi-utama-920sf-bandar-utama-below-market-price-10-111280511.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Multipurpose hall"
"RM 339,000","Koi Tropika, Puchong","Condominium For Sale, listed 28 minutes ago","1,219",4,2,Leasehold,https://www.mudah.my/free-spa-mot-koi-tropika-renovated-partially-furnished-4-bedrooms-105969427.htm,"Parking, Security, Lift, Swimming Pool, Minimart"
"RM 300,000","Rawang, Selangor","New Condominium For Sale, listed 30 minutes ago",900,3,2,Freehold,https://www.mudah.my/3min-ke-aeon-fasa-baru-rawang-kondominium-moden-111144515.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium"
"RM 95,000","Pangsapuri Seri Emas (Kajang), Kajang","Apartment For Sale, listed 32 minutes ago",660,3,2,Leasehold,https://www.mudah.my/high-return-pangsapuri-seri-emas-flat-near-mrt-kajang-sg-chua-107220347.htm,"Parking, Playground, Barbeque area, Minimart, Jogging Track"
"RM 360,000","Savanna Executive Suites, Bangi","Service Residence For Sale, listed 35 minutes ago","1,017",3,2,Freehold,https://www.mudah.my/super-cheap-with-balcony-move-in-condition-111017214.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall"
"RM 150,000","Rawang Mutiara, Rawang","Apartment For Sale, listed 36 minutes ago",661,3,2,Freehold,https://www.mudah.my/s167-service-apartment-rawang-mutiara-business-centre-rawang-110881722.htm,Minimart
"RM 328,000","Pusat Komersial Seksyen 7 Shop Apartment, Shah Alam","Apartment For Sale, listed 36 minutes ago",850,3,2,Leasehold,https://www.mudah.my/fully-furnished-end-unit-apt-for-sale-direct-owner-pks7-sa-111053349.htm,"Parking, Minimart"
"RM 398,000","Shang Villa, Kelana Jaya","Condominium For Sale, listed 37 minutes ago","1,300",3,2,Freehold,https://www.mudah.my/lowest-price-condo-petaling-jaya-subang-sunway-kelana-jaya-lrt-111280030.htm,"Gymnasium, Squash Court"
"RM 145,000","Pangsapuri Merak (Taman Bukit Idaman), Selayang","Apartment For Sale, listed 37 minutes ago",600,2,1,Leasehold,https://www.mudah.my/fast-grab-fully-renovated-merak-apartment-selayang-bukit-idaman-111280079.htm,Timeout
"RM 329,000","Selayang Point, Selayang","Condominium For Sale, listed 37 minutes ago","1,089",3,2,Freehold,https://www.mudah.my/fast-grab-30-selayang-point-condominum-freehold-full-loan-111280078.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart, Multipurpose hall"
"RM 218,000","Jemerlang Apartment, Selayang","Apartment For Sale, listed 37 minutes ago",850,3,2,Leasehold,https://www.mudah.my/fast-grab-850sf-jemerlang-apartment-selayang-heights-111280075.htm,"Security, Playground, Minimart"
"RM 320,000","V-Residensi, Selayang","Condominium For Sale, listed 37 minutes ago","1,210",3,3,Leasehold,https://www.mudah.my/fast-grab-30-v-residensi-selayang-heights-2-carpark-111280074.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall"
"RM 350,000","Selayang Point, Selayang","Condominium For Sale, listed 37 minutes ago","1,089",3,2,Freehold,https://www.mudah.my/fast-grab-selayang-point-condominium-klcc-view-high-floor-111280073.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart, Multipurpose hall"
"RM 320,000","Permai Putera, Ampang","Apartment For Sale, listed 37 minutes ago","1,013",3,2,Leasehold,https://www.mudah.my/below-market-value-tmn-dato-ahmad-razali-near-to-kpj-ampang-puteri-111280047.htm,"Parking, Security, Lift"
"RM 240,000","Orchid @ Anggerik, Puchong","Apartment For Sale, listed 7 hours ago",750,3,2,Freehold,https://www.mudah.my/newly-renovated-mid-floor-orchid-anggerik-apartment-pangsapuri-111213261.htm,"Parking, Security, Playground, Minimart"
