Price,Location,Posted,Size (sqft),Bedrooms,Bathrooms,Property Type,Tenure,URL
"RM 1,260,000","Jalan DU 3/5, Puchong, Selangor","Listed on Aug 13, 2025 (1d ago)","3,018 sqft (floor),",5 Beds,6 Baths,Semi-Detached House,Leasehold,https://www.propertyguru.com.my/property-listing/kinrara-residence-for-sale-by-martin-loon-500022314
"RM 1,750,000","Batu 9, Cheras, Selangor","Listed on Aug 13, 2025 (1d ago)","3,992 sqft (floor),",5 Beds,6 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/residensi-bukit-orkid-for-sale-by-senny-chin-42969425
"RM 2,500,000","Jalan Wira Heights, Bandar Sungai Long, Selangor","Listed on Aug 13, 2025 (1d ago)","3,500 sqft (floor),",5 Beds,4 Baths,Completion: 2010,Freehold,https://www.propertyguru.com.my/property-listing/wira-heights-for-sale-by-shanny-tan-43371954
"RM 1,180,000","Kota Kemuning, Shah Alam, Selangor","Listed on Aug 13, 2025 (1d ago)","2,800 sqft",4 Beds,4 Baths,Semi-Detached House,,https://www.propertyguru.com.my/property-listing/pre-launch-semi-d-kota-kemuning-for-sale-by-jayden-chan-35592741
"RM 2,499,000","SS19, SS19, Subang Jaya, Selangor","Listed on Aug 13, 2025 (1d ago)","3,500 sqft (floor),",4 Beds,3 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/below-market-ss19-subang-jaya-dream-home-on-a-huge-lot-space-for-a-second-house-or-huge-garden-for-sale-by-abbie-lim-43073229
"RM 1,650,000","Jalan Shahbandar 33/5, Bandar Mahkota Cheras, Cheras, Selangor","Listed on Aug 13, 2025 (2d ago)","4,267 sqft (floor),",6 Beds,6 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/east-park-72-bandar-mahkota-cheras-for-sale-by-shanny-tan-43447937
"RM 1,690,000","No. 1 Jalan Ipoh-Rawang, KM-20, Taman Rekreasi Templer, Rawang, Selangor","Listed on Aug 13, 2025 (2d ago)","2,781 sqft (floor),",5 Beds,5 Baths,Completion: 2019,Leasehold,https://www.propertyguru.com.my/property-listing/setia-eco-templer-for-sale-by-afikah-lwp-42284570
"RM 2,350,000","Jalan Bromelia, Bandar Bukit Puchong, Puchong, Selangor","Listed on Aug 13, 2025 (2d ago)","3,900 sqft (floor),",6 Beds,6 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/bromelia-bukit-puchong-for-sale-by-yannick-ng-60161934
"RM 1,450,000","Taman Bayu Damansara Jalan PJU 10/13a, Bandar Sri Damansara, Selangor","Listed on Aug 13, 2025 (2d ago)","2,950 sqft (floor),",4 Beds,4 Baths,Completion: 2016,Freehold,https://www.propertyguru.com.my/property-listing/bayu-damansara-pju-10-for-sale-by-yannick-ng-43399668
"RM 490,000","Jalan Kebun, Shah Alam, Selangor","Listed on Aug 13, 2025 (2d ago)","960 sqft (floor),",3 Beds,2 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/section-30-shah-alam-for-sale-by-halimi-zawawi-43299190
"RM 1,300,000","Lebuh Pulau Pinang 5, Klang, Selangor","Listed on Aug 12, 2025 (2d ago)","2,640 sqft (floor),",4 Beds,3 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/taman-bukit-intan-for-sale-by-joshvinder-singh-500018571
"RM 1,300,000","Persiaran Selatan, Rawang, Selangor","Listed on Aug 12, 2025 (2d ago)","3,606 sqft (floor),",4 Beds,5 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/anggun-3-rawang-new-town-centre-for-sale-by-bill-chia-500010399
"RM 1,290,000","Jalan eco majestic, Semenyih, Selangor","Listed on Aug 12, 2025 (2d ago)","2,843 sqft (floor),",4 Beds,4 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/stoneridge-eco-majestic-semi-d-32-x75-semenyih-for-sale-by-polly-lew-40539516
"RM 1,298,000","Jalan Eco Majestic 6, Semenyih, Selangor","Listed on Aug 12, 2025 (2d ago)","2,843 sqft (floor),",4 Beds,4 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/stoneridge-cluster-semi-d-32-x75-eco-majestic-semenyih-for-sale-by-polly-lew-39523922
"RM 1,800,000","Jalan Palma, Bandar Sungai Long, Selangor","Listed on Aug 12, 2025 (2d ago)","3,095 sqft (floor),",4 Beds,5 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/twin-palms-sungai-long-for-sale-by-polly-lew-37412388
"RM 2,080,000","Jalan Wira Heights, Bandar Sungai Long, Selangor","Listed on Aug 12, 2025 (2d ago)","3,784 sqft (floor),",5 Beds,6 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/wira-heights-bandar-sungai-long-for-sale-by-shanny-tan-37774682
"RM 2,500,000","Kota Kemuning, Shah Alam, Selangor","Listed on Aug 12, 2025 (2d ago)","3,800 sqft (floor),",6 Beds,5 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/kota-kemuning-hills-for-sale-by-mohd-shafik-43285848
"RM 1,330,000","Sungai Long, Bandar Sungai Long, Selangor","Listed on Aug 12, 2025 (3d ago)","2,650 sqft",5 Beds,5 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/goodview-residence-bandar-sungai-long-for-sale-by-shanny-tan-38729866
"RM 1,070,000","jalan hang nadim, Alam Impian, Shah Alam, Selangor","Listed on Aug 12, 2025 (3d ago)","1,967 sqft (floor),",4 Beds,4 Baths,Completion: 2026,Freehold,https://www.propertyguru.com.my/property-listing/shah-alam-for-sale-by-terence-yap-43246024
"RM 1,500,000","Jalan Taming Indah, Bandar Sungai Long, Selangor","Listed on Aug 12, 2025 (3d ago)","2,610 sqft (floor),",4 Beds,4 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/taming-indah-1-for-sale-by-shanny-tan-26669642
"RM 1,650,000","Bandar Sungai Long, Selangor","Listed on Aug 12, 2025 (3d ago)","3,000 sqft (floor),",5 Beds,4 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/bukit-sungai-long-for-sale-by-shanny-tan-41185057
"RM 1,400,000","Jalan Bukit Sungai Long 1/3, Bandar Sungai Long, Selangor","Listed on Aug 12, 2025 (3d ago)","2,500 sqft (floor),",4 Beds,4 Baths,Completion: 2010,Freehold,https://www.propertyguru.com.my/property-listing/bukit-sungai-long-1-for-sale-by-shanny-tan-42522453
"RM 1,600,000","Bandar Sungai Long, Selangor","Listed on Aug 12, 2025 (3d ago)","3,187 sqft (floor),",4 Beds,5 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/taming-indah-1-bandar-sungai-long-for-sale-by-shanny-tan-41638344
"RM 1,350,000","Taming Mutiara, Bandar Sungai Long, Selangor","Listed on Aug 12, 2025 (3d ago)","3,600 sqft (floor),",5 Beds,5 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/taming-mutiara-for-sale-by-shanny-tan-43260226
"RM 1,400,000","Pintasan Kajang - Semenyih By Pass, Kajang, Selangor","Listed on Aug 12, 2025 (3d ago)","3,200 sqft (floor),",5 Beds,4 Baths,Completion: 2021,Freehold,https://www.propertyguru.com.my/property-listing/semanja-kajang-for-sale-by-sean-33479465
"RM 1,300,000","Klang, Selangor","Listed on Aug 11, 2025 (3d ago)","3,000 sqft (floor),",5 Beds,5 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/taman-klang-jaya-for-sale-by-soo-chin-43068619
