Price,Location,Posted,Size (sqft),Bedrooms,Bathrooms,Property Type,Tenure,URL
"RM 250,000","Kampung Baru Sungai Buloh, Kampung Baru Sungai Buloh, Sungai Buloh, Selangor","Listed on Aug 15, 2025 (13h ago)","1,000 sqft (floor),",3 Beds,2 Baths,Flat,Leasehold,https://www.propertyguru.com.my/property-listing/kampung-baru-sungai-buloh-for-sale-by-leanne-chia-500025445
"RM 160,000","- Jalan Damai Perdana 2/15, Bandar Damai Perdana, Cheras, Selangor","Listed on Aug 15, 2025 (13h ago)",780 sqft,3 Beds,2 Baths,Flat,Freehold,https://www.propertyguru.com.my/property-listing/blok-desa-awana-for-sale-by-kent-chong-500025444
"RM 140,000","Jalan Cempaka SD 12/4d, Bandar Sri Damansara, Selangor","Listed on Aug 15, 2025 (13h ago)",600 sqft,2 Beds,1 Bath,Flat,Freehold,https://www.propertyguru.com.my/property-listing/sri-cempaka-for-sale-by-raymond-siew-60364485
"RM 250,000","- Persiaran Subang Mewah, USJ 1, Taman Subang Mewah, Subang Jaya, Selangor","Listed on Aug 15, 2025 (14h ago)",657 sqft,3 Beds,2 Baths,Flat,Leasehold,https://www.propertyguru.com.my/property-listing/angsana-for-sale-by-lay-kien-500025351
"RM 249,000","- Jalan Kasturi 4, Taman Kasturi, Cheras, Selangor","Listed on Aug 15, 2025 (15h ago)",850 sqft,3 Beds,2 Baths,Completion: 2018,Freehold,https://www.propertyguru.com.my/property-listing/pangsapuri-kasturi-tiara-for-sale-by-emily-yee-60364384
"RM 180,000","Taman Pandan Jaya, Pandan Jaya, Ampang, Selangor","Listed on Aug 14, 2025 (15h ago)",806 sqft,2 Beds,1 Bath,Flat,Leasehold,https://www.propertyguru.com.my/property-listing/taman-pandan-jaya-for-sale-by-ck-yee-60364307
"RM 190,000","Jalan SP 4/1 Jalan Sp 4/4 Off Jalan Saujana Putra, Bandar Saujana Putra, Tanjong Duabelas, Selangor","Listed on Aug 14, 2025 (15h ago)",650 sqft,3 Beds,2 Baths,Flat,Leasehold,https://www.propertyguru.com.my/property-listing/impian-for-sale-by-aaron-wong-500025304
"RM 170,000","- Persiaran Meranti, Bandar Sri Damansara, Selangor","Listed on Aug 14, 2025 (18h ago)",650 sqft,3 Beds,2 Baths,Flat,Freehold,https://www.propertyguru.com.my/property-listing/pangsapuri-sri-meranti-for-sale-by-kt-ooi-60169626
"RM 230,000","Jalan Baiduri 2, Taman Desa Baiduri, Cheras, Selangor","Listed on Aug 14, 2025 (18h ago)",800 sqft,3 Beds,2 Baths,Completion: 1998,Leasehold,https://www.propertyguru.com.my/property-listing/desa-baiduri-for-sale-by-kaze-kang-60056720
"RM 170,000","Jalan PJS 7/15, Bandar Sunway, Sunway, Selangor","Listed on Aug 14, 2025 (18h ago)",606 sqft,3 Beds,1 Bath,Flat,Leasehold,https://www.propertyguru.com.my/property-listing/sunway-low-cost-flat-pjs-7-15-for-sale-by-vernice-ng-40189802
"RM 988,000","Jalan 17/2, Seksyen 17, Seksyen 17, Petaling Jaya, Selangor","Listed on Aug 14, 2025 (20h ago)","1,650 sqft (floor),",3 Beds,2 Baths,Flat,Freehold,https://www.propertyguru.com.my/property-listing/seksyen-17-petaling-jaya-for-sale-by-phyllis-leong-500008058
"RM 280,000","- Jalan Bukit Serdang 4/2, Taman Bukit Serdang, Seri Kembangan, Selangor","Listed on Aug 14, 2025 (20h ago)",780 sqft,3 Beds,2 Baths,Completion: 2005,Leasehold,https://www.propertyguru.com.my/property-listing/kantan-court-for-sale-by-daniel-40964069
"RM 185,000","Jalan PJU 7/15A, Mutiara Damansara, Selangor","Listed on Aug 14, 2025 (21h ago)",650 sqft,3 Beds,2 Baths,Flat,Freehold,https://www.propertyguru.com.my/property-listing/desa-mutiara-for-sale-by-nadia-rahim-60363431
"RM 220,000","- Jalan 16, Ampang Jaya, Ampang, Selangor","Listed on Aug 14, 2025 (21h ago)",650 sqft,3 Beds,1 Bath,Flat,Leasehold,https://www.propertyguru.com.my/property-listing/pandan-ria-block-d-for-sale-by-jayson-chong-38355328
"RM 180,000","Jalan Pinggiran 2/7 Pinggiran Batu Caves, Batu Caves, Selangor","Listed on Aug 14, 2025 (21h ago)",600 sqft,3 Beds,1 Bath,Flat,Leasehold,https://www.propertyguru.com.my/property-listing/pinggiran-batu-caves-for-sale-by-yazila-sulaimi-500024628
"RM 210,000","Lorong Batu Nilam 1B - 1E, Bandar Bukit Tinggi 1 (And 6 Others), Bandar Botanic, Klang, Selangor","Listed on Aug 14, 2025 (22h ago)",650 sqft,3 Beds,2 Baths,Flat,Freehold,https://www.propertyguru.com.my/property-listing/bandar-bukit-tinggi-1-apartment-for-sale-by-syahrim-naim-60363225
"RM 250,000","Taman Orkid, Taman Orkid, Cheras, Selangor","Listed on Aug 14, 2025 (22h ago)",550 sqft,2 Beds,1 Bath,Flat,Freehold,https://www.propertyguru.com.my/property-listing/taman-orkid-for-sale-by-ms-goh-60363192
"RM 250,000","- Jalan Cheras Hartamas, Taman Cheras Hartamas, 4320, Cheras, Selangor","Listed on Aug 14, 2025 (22h ago)",550 sqft,2 Beds,1 Bath,Completion: 2000,Freehold,https://www.propertyguru.com.my/property-listing/pangsapuri-kempas-for-sale-by-ms-goh-60363179
"RM 170,000","Jalan Permai 2/2 Jalan Permai 1/2, Taman Puchong Permai, Taman Puchong Permai, Puchong, Selangor","Listed on Aug 14, 2025 (22h ago)",650 sqft,3 Beds,2 Baths,Flat,Leasehold,https://www.propertyguru.com.my/property-listing/puchong-permai-for-sale-by-yazila-sulaimi-500024465
"RM 420,000","Kuala Selangor, Selangor","Listed on Aug 14, 2025 (23h ago)",937 sqft,3 Beds,2 Baths,Flat,,https://www.propertyguru.com.my/property-listing/residensi-alea-for-sale-by-wan-hui-500024302
"RM 210,000","- Persiaran Meranti, Bandar Sri Damansara, Selangor","Listed on Aug 14, 2025 (23h ago)",650 sqft,3 Beds,2 Baths,Flat,Freehold,https://www.propertyguru.com.my/property-listing/pangsapuri-sri-meranti-for-sale-by-wymer-liew-60362686
"RM 180,000","Taman Pandan Jaya, Pandan Jaya, Ampang, Selangor","Listed on Aug 14, 2025 (1d ago)",820 sqft,3 Beds,2 Baths,Flat,Leasehold,https://www.propertyguru.com.my/property-listing/taman-pandan-jaya-for-sale-by-kevin-chen-42340755
"RM 148,000","Jalan Pju 10/9, Damansara Damai, Selangor","Listed on Aug 14, 2025 (1d ago)",750 sqft,3 Beds,2 Baths,Flat,Leasehold,https://www.propertyguru.com.my/property-listing/prima-damansara-for-sale-by-angeline-ooi-42889321
"RM 195,000","Pusat Bandar Puchong, Pusat Bandar Puchong, Puchong, Selangor","Listed on Aug 14, 2025 (1d ago)",828 sqft,3 Beds,1 Bath,Flat,Leasehold,https://www.propertyguru.com.my/property-listing/pusat-bandar-puchong-for-sale-by-chau-chiu-fuu-60361875
