Price,Location,Posted,Size (sqft),Bedrooms,Bathrooms,Tenure,URL,Facilities
"RM 488,000","KL Traders Square Residences, Setapak","Service Residence For Sale, listed 10 hours ago","1,059",3,2,Freehold,https://www.mudah.my/kl-traders-square-residence-near-setapak-central-mall-setapak-kl-110861297.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track"
"RM 330,000","Miharja Condominium, Cheras","Condominium For Sale, listed 10 hours ago",959,3,2,Leasehold,https://www.mudah.my/miharja-condo-taman-miharja-cheras-velocity-miharja-lrt-mrt-non-bumi-110831390.htm,"Parking, Security, Swimming Pool, Playground, Sauna, Minimart, Jogging Track"
"RM 480,000","The Vyne, Sungai Besi","Condominium For Sale, listed 10 hours ago","1,106",3,2,Leasehold,https://www.mudah.my/cheap-cheap-vyne-residence-sungai-besi-1106sf-111265906.htm,"Parking, Security, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Squash Court"
"RM 389,999","Danau Permai, Taman Desa","Condominium For Sale, listed 10 hours ago",689,1,1,Freehold,https://www.mudah.my/nice-unit-danau-permai-condo-taman-desa-689sf-111265863.htm,"Parking, Security, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Tennis Court, Squash Court"
"RM 450,000","Neu Suites, Ampang","Service Residence For Sale, listed 10 hours ago",430,2,1,Freehold,https://www.mudah.my/id-fully-furnished-neu-suites-jalan-ampang-best-buy-for-investment-110496493.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track"
"RM 480,000","Seri Puteri Condominium, Cheras","Condominium For Sale, listed 10 hours ago","1,132",3,2,Leasehold,https://www.mudah.my/walking-distance-lrt-corner-unit-seri-puteri-condo-cheras-permaisuri-110384319.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart"
"RM 220,000","Sri Penara, Cheras","Apartment For Sale, listed 10 hours ago",650,3,2,Leasehold,https://www.mudah.my/cash-back-termurah-sri-penara-apartment-near-lrt-sri-permaisuri-111266056.htm,"Parking, Security, Lift, Playground, Minimart, Jogging Track"
"RM 490,000","Royal Domain Sri Putramas 2, Jalan Kuching","Condominium For Sale, listed 10 hours ago","1,295",4,2,Freehold,https://www.mudah.my/royal-domain-sri-putramas-2-jln-kuching-f-h-f-f-reno-high-flr-klcc-v-108242518.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court"
"RM 750,000","The Luxe by Infinitum, KL City","Condominium For Sale, listed 10 hours ago",725,2,2,Freehold,https://www.mudah.my/the-luxe-by-infinitum-kl-city-f-h-id-reno-f-f-high-flr-genting-view-105181692.htm,"Security, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area"
"RM 1,498,000","Mont Kiara, Kuala Lumpur","Condominium For Sale, listed 10 hours ago","2,257",4,4,Freehold,https://www.mudah.my/tiffani-kiara-mont-kiara-nice-renovated-id-design-smart-home-system-95634644.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart, Jogging Track, Tennis Court, Squash Court, 10, 11"
"RM 730,000","Damansara Foresta, Sri Damansara","Condominium For Sale, listed 10 hours ago","1,441",4,3,Freehold,https://www.mudah.my/damansara-foresta-bandar-sri-damansara-renovated-f-f-pool-view-98665595.htm,"Parking, Security, Swimming Pool, Playground, Sauna, Barbeque area, Minimart, Club house, Jogging Track"
"RM 788,000","Damansara Foresta, Sri Damansara","Condominium For Sale, listed 10 hours ago","1,610",4,3,Freehold,https://www.mudah.my/damansara-foresta-bandar-sri-damansara-brand-new-p-f-nice-view-98693354.htm,"Parking, Security, Swimming Pool, Playground, Sauna, Barbeque area, Minimart, Club house, Jogging Track"
"RM 550,000","Vista Tasik, Cheras","Condominium For Sale, listed 10 hours ago","1,012",3,2,Freehold,https://www.mudah.my/corner-unit-vista-tasik-condominium-bdr-sri-permaisuri-111266027.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court"
"RM 318,000","Kenwingston Platz, Setapak","Condominium For Sale, listed 10 hours ago",950,3,2,Freehold,https://www.mudah.my/setapak-new-condo-freehold-2r2b-3r2b-monthly-from-1-3k-free-furnished-105817937.htm,"Parking, Security, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Jogging Track"
"RM 420,000","Kepong, Kuala Lumpur","Condominium For Sale, listed 10 hours ago",743,2,1,Leasehold,https://www.mudah.my/kepong-ready-move-in-2024-free-furnished-0dp-free-legal-fee-jalan-ipoh-103052924.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track"
"RM 289,000","KL City, Kuala Lumpur","Condominium For Sale, listed 10 hours ago",500,3,2,Freehold,https://www.mudah.my/full-loan-1-3-rooms-near-mrt-shopping-mall-limited-unit-61821344.htm,Timeout
"RM 338,000","Vista Sentul Residences, Sentul","Service Residence For Sale, listed 10 hours ago",689,2,2,Freehold,https://www.mudah.my/100-full-loan-vista-sentul-sentul-for-investment-own-stay-111117455.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall"
"RM 485,000","Puchong, Kuala Lumpur","Condominium For Sale, listed 10 hours ago","1,235",3,2,Freehold,https://www.mudah.my/0-down-payment-and-cash-back-new-freehold-pre-launch-condo-111046559.htm,Timeout
"RM 445,000","Maxim Citylights @ Sentul KL, Sentul","Service Residence For Sale, listed 10 hours ago","1,095",3,2,Leasehold,https://www.mudah.my/maxim-citylights-sentul-condo-with-balcony-for-sale-110848938.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Jogging Track"
"RM 488,000","Maxim Citylights @ Sentul KL, Sentul","Service Residence For Sale, listed 10 hours ago","1,260",3,2,Leasehold,https://www.mudah.my/sentul-maxim-cityligts-condo-with-big-balcony-nice-unit-for-sale-110811673.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Jogging Track"
"RM 510,000","Maxim Citylights @ Sentul KL, Sentul","Service Residence For Sale, listed 10 hours ago","1,260",3,2,Leasehold,https://www.mudah.my/sentul-condo-maxim-citylights-1260sf-big-balcony-for-sale-110849023.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Jogging Track"
"RM 470,000","Platinum Hill PV 2, Setapak","Condominium For Sale, listed 2 days ago","1,313",3,2,Freehold,https://www.mudah.my/pv2-setapak-melati-renovated-2-carparks-high-floor-for-sale-111245502.htm,"Parking, Security, Swimming Pool, Playground, Gymnasium, Minimart, Squash Court"
"RM 315,000","MH Platinum 3 Residence, Setapak","Condominium For Sale, listed 5 days ago",950,3,3,Freehold,https://www.mudah.my/kl-setapak-3r2b-freehold-monthly-rm1-4k-near-mrt-below-market-v-108491211.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Club house, Jogging Track, Squash Court"
"RM 318,000","Menara Alpha, Wangsa Maju","Condominium For Sale, listed 1 day ago",971,3,2,Leasehold,https://www.mudah.my/menara-alpha-condo-wangsa-maju-walking-distance-lrt-wangsa-maju-111253371.htm,"Parking, Security, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart"
"RM 275,000","Connaught Avenue, Cheras","Service Residence For Sale, listed 10 hours ago",950,3,2,Leasehold,https://www.mudah.my/near-mrt-station-connaught-avenue-cheras-kuala-lumpur-110837683.htm,"Parking, Security, Swimming Pool, Playground"
"RM 245,000","Perumahan Pantai Permai, Bangsar South","Apartment For Sale, listed 11 hours ago",650,3,2,Leasehold,https://www.mudah.my/100-loan-low-deposit-ppr-pantai-permai-pantai-dalam-kl-bebas-bocor-110770326.htm,"Parking, Security, Lift, Playground, Minimart, Jogging Track"
"RM 310,000","Pudu Impian 2 - Vila Tropika, Cheras","Condominium For Sale, listed 11 hours ago",936,3,2,Leasehold,https://www.mudah.my/pudu-impian-2-vila-tropika-taman-kobena-cheras-for-sale-111020777.htm,"Parking, Security, Swimming Pool, Playground, Gymnasium"
"RM 399,000","Midfields, Sungai Besi","Condominium For Sale, listed 11 hours ago","1,139",3,2,Leasehold,https://www.mudah.my/cheap-cheap-midfield-condo-sungai-besi-2-carpark-big-foyer-110283458.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Jogging Track, Squash Court"
"RM 380,000","Anjung Hijau, Bukit Jalil","Condominium For Sale, listed 11 hours ago","1,000",2,2,Freehold,https://www.mudah.my/cheap-cheap-cheap-anjung-hijau-greenfield-bukit-jalil-107390228.htm,"Parking, Security, Lift, Playground, Barbeque area, Minimart, Jogging Track"
"RM 350,000","Maxim Citylights @ Sentul KL, Sentul","Service Residence For Sale, listed 11 hours ago","1,009",3,2,Leasehold,https://www.mudah.my/maxim-citylights-sentul-setapak-specialist-near-kl-108752933.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Jogging Track"
"RM 380,500","ARIA Luxury Residence, KLCC, KLCC","New Service Residence For Sale, listed 11 hours ago",600,2,1,Freehold,https://www.mudah.my/0-downpayment-klcc-hotel-residence-grr-15-60-meter-to-mrt-111038914.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court"
"RM 390,816","Ampang, Kuala Lumpur","Service Residence For Sale, listed 11 hours ago",641,3,2,Freehold,https://www.mudah.my/60m-to-mrt-hotel-investment-special-layout-fully-management-110593381.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court"
"RM 450,000","Sentul, Kuala Lumpur","Condominium For Sale, listed 11 hours ago","1,200",3,2,Freehold,https://www.mudah.my/low-density-condo-sentul-matured-neighbourhood-privacy-111193966.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Tennis Court"
"RM 600,000","Bukit Jalil, Kuala Lumpur","Condominium For Sale, listed 11 hours ago","1,701",4,2,Freehold,https://www.mudah.my/duplex-designer-condo-in-bukit-jalil-near-pavilion-mall-111192048.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Tennis Court"
"RM 310,000","Setapak Ria Condominium, Setapak","Condominium For Sale, listed 11 hours ago",911,3,2,Freehold,https://www.mudah.my/freehold-condominium-setapak-ria-911sqft-100-loan-offer-111171584.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Tennis Court, Squash Court"
"RM 340,000","Residensi Alam Damai (PR1MA @ Alam Damai), Cheras","Apartment For Sale, listed 11 hours ago",950,3,2,Leasehold,https://www.mudah.my/residensi-alam-damai-kuala-lumpur-cheras-950sqft-2-parking-110838056.htm,"Parking, Security, Lift, Playground, Multipurpose hall"
"RM 140,000","Desa Petaling Flat, Desa Petaling","Flat For Sale, listed 11 hours ago",559,2,1,Leasehold,https://www.mudah.my/flat-desa-petaling-559sf-2r1b-partly-furnished-nice-unit-107434867.htm,Parking
"RM 850,000","The Rainz, Bukit Jalil","Condominium For Auction, listed 11 hours ago","1,475",4,3,Freehold,https://www.mudah.my/the-rainz-bukit-jalil-6-min-to-pavilion-bukit-jalil-111265127.htm,"Security, Lift, Swimming Pool, Playground, Gymnasium"
"RM 348,000","Zen Suites @ Zetapark, Setapak","Service Residence For Sale, listed 11 hours ago",724,1,1,Leasehold,https://www.mudah.my/100-loan-zetapark-studio-central-mall-setapak-724sf-below-market-110501044.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall, Jogging Track"
"RM 530,000","Platinum Hill PV 2, Setapak","Condominium For Sale, listed 11 hours ago","1,450",3,2,Freehold,https://www.mudah.my/1450sf-kl-east-view-pv2-pv-2-taman-melati-utama-setapak-high-floor-109072739.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track, Squash Court"
"RM 338,000","Rose Vista, Ampang","Condominium For Sale, listed 11 hours ago",997,3,2,Leasehold,https://www.mudah.my/rose-vista-apartment-at-taman-cahaya-ampang-3-min-walk-to-lrt-cahaya-111026880.htm,"Parking, Security, Lift, Swimming Pool, Playground, Barbeque area"
