Price,Location,Posted,Size (sqft),Bedrooms,Bathrooms,Property Type,Tenure,URL
"RM 1,250,000","Baru Selayang, Selayang, Selangor","Listed on Aug 15, 2025 (1h ago)","2,824 sqft (floor),",5 Beds,5 Baths,Completion: 2021,Leasehold,https://www.propertyguru.com.my/property-listing/hijauan-selayang-for-sale-by-cm-lee-40975237
"RM 751,000
Starting from","Galeri Jualan PKNS Kota Puteri, Rawang, Selangor","Listed on Mar 27, 2025 (4mo ago)",,4 Beds,5 Baths,Completion: 2026,Leasehold,https://www.propertyguru.com.my/property-listing/project/puteri-ariana-3-for-sale-by-perbadanan-kemajuan-negeri-selangor-pkns-43087207?pixelUrl=https%3A%2F%2Fe-11135.adzerk.net%2Fe.gif%3Fe%3DeyJ2IjoiMS4xMyIsImF2Ijo2MDQ5Nzk0LCJhdCI6MTYzLCJidCI6MCwiY20iOjYzMjI3NTkxMSwiY2giOjU5NTM0LCJjayI6e30sImNyIjo3MTE2NDAxNTYsImRpIjoiMDc4YTM2Njg2N2Q5NDE4ZGI2ZDIxZDBkZTBmZGJkMGMiLCJkaiI6MiwiaWkiOiI3YWNkOGFkMmJiNTg0MWJmYjkyYjY1MzdiMzYwYzc4MiIsImRtIjozLCJmYyI6ODg1OTIzNjQ3LCJmbCI6ODM1MDkwMjI5LCJpcCI6IjYwLjQ4LjE2OC45MyIsImt3IjoiNDVuazEsbGlzdGluZy1yZXNpZGVudGlhbCxsaXN0aW5nLXNhbGUtcHJvcC10IiwibWsiOiJsaXN0aW5nLXNhbGUtcHJvcC10LDQ1bmsxIiwibnciOjExMTM1LCJwYyI6MjUwMCwib3AiOjI1MDAsIm1wIjoyNTAwLCJlYyI6MjUwMCwiZ20iOjAsImVwIjpudWxsLCJwciI6MjM1NzE0LCJydCI6MiwicnMiOjUwMCwic2EiOiI4MSIsInNiIjoiaS0wMjM2ZTA3MDNkM2I3OWM2NCIsInNwIjozMjg5MjUsInN0IjoxMjM0NTU1LCJ1ayI6IjY0YzAyOWIxLWNjZGUtNGFlMC1iZDk0LTQwZGIxZDY3ZGUxYSIsInRzIjoxNzU1MjQyOTMxNzIxLCJiZiI6dHJ1ZSwicG4iOiIxLTItMy00LTUiLCJnYyI6dHJ1ZSwiZ0MiOnRydWUsImdzIjoibm9uZSIsInR6IjoiQXNpYS9TaW5nYXBvcmUiLCJmY3BjIjpmYWxzZSwiZXQiOjIwNX0%26s%3DjyKDHaUf1imuz0R5WPCjjoCkZkA#11473
"RM 900,000","Bandar Puncak Alam, Puncak Alam, Selangor","Listed on Aug 15, 2025 (3h ago)","2,400 sqft",4 Beds,3 Baths,2-storey Terraced House,,https://www.propertyguru.com.my/property-listing/semi-d-concept-for-sale-in-puncak-alam-for-sale-by-janet-hng-60267136
"RM 908,000","Bandar Puncak Alam, Puncak Alam, Selangor","Listed on Aug 15, 2025 (3h ago)","2,500 sqft",4 Beds,3 Baths,2-storey Terraced House,,https://www.propertyguru.com.my/property-listing/own-a-garden-home-and-get-160k-rebate-for-sale-by-janet-hng-60267277
"RM 750,000","Elmina Grove, Shah Alam, Selangor","Listed on Aug 15, 2025 (3h ago)","1,601 sqft (floor),",4 Beds,3 Baths,Completion: 2023,Freehold,https://www.propertyguru.com.my/property-listing/ilham-residence-city-of-elmina-for-sale-by-herman-lokman-60308880
"RM 640,000","Semenyih, Selangor","Listed on Aug 15, 2025 (3h ago)","1,848 sqft (floor),",4 Beds,3 Baths,Completion: 2025,Freehold,https://www.propertyguru.com.my/property-listing/serene-heights-for-sale-by-herman-lokman-60309032
"RM 930,000","Jalan Zapin 2, Bandar Bukit Raja, Klang, Selangor","Listed on Aug 15, 2025 (3h ago)","2,430 sqft (floor),",5 Beds,4 Baths,Completion: 2017,Freehold,https://www.propertyguru.com.my/property-listing/mutiara-residences-for-sale-by-sean-chia-39594007
"RM 828,000","Setia Alam, Selangor","Listed on Aug 15, 2025 (3h ago)","2,800 sqft (floor),",5 Beds,5 Baths,3-storey Terraced House,,https://www.propertyguru.com.my/property-listing/brand-new-3sty-superlink-2800sf-5r5b-fully-extend-behind-setia-eco-park-for-sale-by-sean-chia-41871280
"RM 798,000","Bandar Bukit Raja, Klang, Selangor","Listed on Aug 15, 2025 (3h ago)","2,100 sqft (floor),",5 Beds,4 Baths,2-storey Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/new-2sty-22x75-5r4b-freehold-2100sf-built-up-bandar-bukit-raja-setia-alam-klang-for-sale-by-sean-chia-42086014
"RM 880,000","Jalan Aman Bayan, Bandar Tropicana Aman, Seksyen 31, Shah Alam, Selangor","Listed on Aug 15, 2025 (3h ago)","2,428 sqft (floor),",4 Beds,4 Baths,2-storey Terraced House,Leasehold,https://www.propertyguru.com.my/property-listing/bayan-residences-tropicana-aman-for-sale-by-esther-leong-60276109
