Price,Location,Posted,Size (sqft),Bedrooms,Bathrooms,Property Type,Tenure,URL,Facilities
"RM 250,000","Jalan Putra Permai 2 Jalan Putra Permai, Taman Putra Permai, Seri Kembangan, Selangor","Listed on Aug 14, 2025 (1d ago)",787 sqft,3 Beds,2 Baths,Apartment,Leasehold,https://www.propertyguru.com.my/property-listing/putra-permai-block-b-for-sale-by-kean-phang-60255130,Not Listed
,,,,,,,,https://www.propertyguru.com.my/property-listing/project/rimbun-saujana-residency-for-sale-by-saujana-development-sdn-bhd-42341737#7268,"24 hours security, Bbq, Covered car park, Drop off point"
"RM 145,000","Jalan tks 5, Taman Kajang Jaya, Kajang, Selangor","Listed on Aug 14, 2025 (1d ago)",743 sqft,3 Beds,2 Baths,Apartment,Leasehold,https://www.propertyguru.com.my/property-listing/taman-kajang-sentral-for-sale-by-quek-60270048,Not Listed
"RM 260,000","- Jalan Wangsa 2/6, Taman Wangsa Permai, Kepong, Selangor","Listed on Aug 13, 2025 (2d ago)",955 sqft,3 Beds,2 Baths,Apartment,Leasehold,https://www.propertyguru.com.my/property-listing/vista-saujana-for-sale-by-celine-yeo-43374096,"24 hours security, Badminton hall, Bbq, Covered car park"
"RM 400,000","Jalan Panglima Jalan Panglima, Persiaran Mahkota Cheras 1, Bandar Mahkota Cheras, Cheras, Selangor","Listed on Aug 12, 2025 (3d ago)","1,100 sqft",3 Beds,2 Baths,Apartment,Freehold,https://www.propertyguru.com.my/property-listing/suria-court-for-sale-by-lucy-khoo-43023381,"24 hours security, Covered car park"
"RM 230,000","- Jalan Intan 4, Taman Puchong Intan, Taman Puchong Intan, Puchong, Selangor","Listed on Aug 12, 2025 (3d ago)","1,048 sqft",3 Beds,2 Baths,Completion: 1990,Freehold,https://www.propertyguru.com.my/property-listing/intan-apartment-for-sale-by-kelvin-ho-60332505,"24 hours security, Bbq, Covered car park, Jogging track"
"RM 250,000","- Jalan Wangsa 2/6, Taman Wangsa Permai, Kepong, Selangor","Listed on Aug 11, 2025 (4d ago)",992 sqft,3 Beds,2 Baths,Completion: 2011,Leasehold,https://www.propertyguru.com.my/property-listing/prima-saujana-for-sale-by-ronald-soo-43171874,"24 hours security, Bbq, Covered car park, Gym"
"RM 390,000","- Jalan PJS 7/13, Bandar Sunway, Sunway, Selangor","Listed on Aug 11, 2025 (4d ago)",990 sqft,3 Beds,2 Baths,Apartment,Leasehold,https://www.propertyguru.com.my/property-listing/sunway-court-for-sale-by-ronald-soo-43096273,"24 hours security, Badminton hall, Covered car park, Lounge"
"RM 320,000","Persiaran Setia Indah, Setia Alam, Selangor","Listed on Aug 10, 2025 (5d ago)",900 sqft,3 Beds,2 Baths,Completion: 2020,Freehold,https://www.propertyguru.com.my/property-listing/de-bayu-apartment-for-sale-by-mohd-azam-shah-bin-hamzah-60291378,"24 hours security, Gym, Jogging track, Playground"
"RM 330,000","3 Jalan SS 25/41, Taman Mayang, Kelana Jaya, Petaling Jaya, Selangor","Listed on Aug 08, 2025 (6d ago)",968 sqft,3 Beds,2 Baths,Apartment,Freehold,https://www.propertyguru.com.my/property-listing/apartment-sri-mayang-for-sale-by-wysin-wan-43413942,"24 hours security, Covered car park, Perimeter fencing"
"RM 179,000","Persiaran Delima 4 Persiaran Delima 4 Bandar Parklands, Bandar Bukit Tinggi 3, Klang, Selangor","Listed on Aug 15, 2025 (7m ago)",650 sqft,3 Beds,2 Baths,Apartment,Freehold,https://www.propertyguru.com.my/property-listing/pangsapuri-arista-for-sale-by-jason-lim-42529355,"24 hours security, Badminton hall, Bbq, Cafes"
"RM 168,000","Jalan Pju 10/4C, Damansara Damai, Selangor","Listed on Aug 14, 2025 (1d ago)",650 sqft,3 Beds,2 Baths,Apartment,Leasehold,https://www.propertyguru.com.my/property-listing/apartment-harmoni-for-sale-by-yubi-leong-500022895,Surau (male & female)
"RM 123,000","- Jalan Palma Raja 3/Ks6, Bandar Botanic, Klang, Selangor","Listed on Aug 13, 2025 (2d ago)",650 sqft,3 Beds,2 Baths,Completion: 2015,Freehold,https://www.propertyguru.com.my/property-listing/pangsapuri-palma-for-sale-by-jason-lim-43376588,"Clubhouse, Multi-purpose hall, Perimeter fencing, Playground"
"RM 306,180","Jalan Sri Manja, Taman Sri Manja, Petaling Jaya, Selangor","Listed on Aug 11, 2025 (3d ago)","1,135 sqft",3 Beds,2 Baths,Completion: 1977,Leasehold,https://www.propertyguru.com.my/property-listing/sri-manja-court-for-sale-by-vinn-43327558,"24 hours security, Badminton hall, Bbq, Covered car park"
"RM 250,000","Jalan Setia Perdana U13/28, Seksyen U13, Setia Alam, Selangor","Listed on Aug 11, 2025 (3d ago)",700 sqft,3 Beds,2 Baths,Completion: 2013,Freehold,https://www.propertyguru.com.my/property-listing/suria-rafflesia-for-sale-by-adi-mohamad-60280715,"24 hours security, Badminton hall, Laundry, Multi-purpose hall"
"RM 250,000","- Jalan Wangsa 2/6, Taman Wangsa Permai, Kepong, Selangor","Listed on Aug 10, 2025 (4d ago)",942 sqft,3 Beds,2 Baths,Apartment,Leasehold,https://www.propertyguru.com.my/property-listing/ixora-for-sale-by-vivian-lee-60314465,"Badminton hall, Bbq, Covered car park, Lounge"
"RM 380,000","- Jalan SS 8/7, Petaling Jaya, Selangor","Listed on Aug 10, 2025 (5d ago)","1,098 sqft",3 Beds,2 Baths,Apartment,Freehold,https://www.propertyguru.com.my/property-listing/pangsapuri-kelana-impian-for-sale-by-hany-60168630,"24 hours security, Badminton hall, Bbq, Covered car park"
"RM 331,000","Jalan Angsana, Kajang, Selangor","Listed on Aug 09, 2025 (5d ago)",981 sqft,3 Beds,2 Baths,Completion: 2013,Freehold,https://www.propertyguru.com.my/property-listing/ramal-residence-for-sale-by-ismadi-ab-jalil-60276191,"24 hours security, Parking, Perimeter fencing, Playground"
"RM 399,000 - RM 423,000","Cyber Valley, Bandar Baru Bangi, Bangi, Selangor","Listed on Jun 04, 2025 (2mo ago)",906 sqft,3 Beds,2 Baths,Completion: 2025,Leasehold,https://www.propertyguru.com.my/property-listing/project/intana-ria-3-for-sale-by-perbadanan-kemajuan-negeri-selangor-pkns-43403652#11679,Not Listed
"RM 442,680 - RM 483,000","Bandar Saujana Putra, Puchong, Selangor","Listed on Jan 31, 2025 (6mo ago)",850 sqft,3 Beds,2 Baths,Completion: 2028,Leasehold,https://www.propertyguru.com.my/property-listing/project/bsp-sutera-for-sale-by-seribu-baiduri-sdn-bhd-41384444#5517,"24 hours security, Bbq, Community garden, Jogging track"
"RM 415,000
Starting from","Laman Puteri 3, Bangi, Selangor","Listed on Jan 21, 2025 (6mo ago)",904 sqft,3 Beds,2 Baths,Completion: 2027,Freehold,https://www.propertyguru.com.my/property-listing/project/caladia-for-sale-by-ioi-properties-group-berhad-42385507#7305,"24 hours security, Badminton hall, Basketball court, Bbq"
"RM 295,000","Jalan Matahari U5/117, Shah Alam, Selangor","Listed on Aug 15, 2025 (8m ago)","1,012 sqft",3 Beds,2 Baths,Apartment,Freehold,https://www.propertyguru.com.my/property-listing/apartment-ruby-for-sale-by-ethan-chong-500026519,"Parking, Playground"
"RM 330,000","10 Jalan Sepah Puteri 5/1, Kota Damansara, Selangor","Listed on Aug 15, 2025 (13m ago)",850 sqft,3 Beds,2 Baths,Apartment,Leasehold,https://www.propertyguru.com.my/property-listing/pangsapuri-carmila-for-sale-by-fasha-hamid-500015608,"Bbq, Lounge, Nursery, Parking"
"RM 380,000","Camellia Residences Jalan Sungai Long, Bandar Sungai Long, Selangor","Listed on Aug 15, 2025 (16m ago)","1,052 sqft",3 Beds,2 Baths,Apartment,Freehold,https://www.propertyguru.com.my/property-listing/camellia-residences-for-sale-by-shanny-tan-32232065,"24 hours security, Gym, Multi-purpose hall, Nursery"
"RM 320,000","- Jalan Teknorat, Cyberjaya, Selangor","Listed on Aug 15, 2025 (19m ago)",705 sqft,3 Beds,2 Baths,Completion: 2017,Freehold,https://www.propertyguru.com.my/property-listing/sky-park-for-sale-by-jason-tang-60365934,Parking
"RM 330,000","- Jalan Puteri 11/1, Bandar Puteri Puchong, Puchong, Selangor","Listed on Aug 15, 2025 (31m ago)",900 sqft,3 Beds,2 Baths,Apartment,Freehold,https://www.propertyguru.com.my/property-listing/puteri-bayu-apartment-for-sale-by-paul-lee-43357263,"24 hours security, Badminton hall, Bbq, Covered car park"
"RM 430,000","- Jalan SS 17/1, SS17, Subang Jaya, Selangor","Listed on Aug 15, 2025 (32m ago)",970 sqft,3 Beds,2 Baths,Apartment,Freehold,https://www.propertyguru.com.my/property-listing/subang-jaya-lafite-for-sale-by-thomas-ngu-60365874,"24 hours security, Badminton hall, Bbq, Covered car park"
"RM 255,000","Jalan Perdana Utama Jalan Perdana Utama, Pandan Perdana, Ampang, Selangor","Listed on Aug 15, 2025 (32m ago)",818 sqft,3 Beds,2 Baths,Apartment,Leasehold,https://www.propertyguru.com.my/property-listing/perdana-court-for-sale-by-paul-lee-60098282,Not Listed
"RM 235,000","- Lebuh Utama Tun Hussein Onn, Taman Cheras Perdana,, Cheras, Selangor","Listed on Aug 15, 2025 (32m ago)",870 sqft,3 Beds,2 Baths,Apartment,Freehold,https://www.propertyguru.com.my/property-listing/cheras-perdana-apartment-block-d-e-for-sale-by-paul-lee-60113523,"24 hours security, Covered car park, Playground"
"RM 370,000","Jalan Subang Indah, USJ 15, Subang Jaya, Selangor","Listed on Aug 15, 2025 (33m ago)","1,076 sqft",3 Beds,2 Baths,Completion: 1997,Freehold,https://www.propertyguru.com.my/property-listing/subang-perdana-goodyear-court-10-for-sale-by-paul-lee-60342888,"24 hours security, Bbq, Covered car park, Lounge"
"RM 298,000","Precinct 15 Jalan Setia Gemilang U13/45B, Setia Alam, Selangor","Listed on Aug 15, 2025 (35m ago)",939 sqft,3 Beds,2 Baths,Completion: 2015,Freehold,https://www.propertyguru.com.my/property-listing/seri-mutiara-for-sale-by-wong-yuan-kong-39767439,"24 hours security, Badminton hall, Bbq, Clubhouse"
"RM 240,000","- Jalan SS 9A/14 Jalan SS 9a/14, Seksyen 51a, Petaling Jaya, Selangor","Listed on Aug 15, 2025 (35m ago)",650 sqft,3 Beds,1 Bath,Completion: 2011,Leasehold,https://www.propertyguru.com.my/property-listing/impian-seri-setia-apartment-for-sale-by-see-hui-tan-60365844,Parking
"RM 270,000","Jalan Camar 4/5A, Kota Damansara, Selangor","Listed on Aug 15, 2025 (35m ago)",770 sqft,3 Beds,2 Baths,Completion: 2017,Leasehold,https://www.propertyguru.com.my/property-listing/gugusan-melur-for-sale-by-hao-pua-60365847,"Perimeter fencing, Playground, Recreation room, Surau (male & female)"
"RM 200,000","- Persiaran Indera, Taman Wawasan, Puchong, Selangor","Listed on Aug 15, 2025 (45m ago)",873 sqft,3 Beds,2 Baths,Apartment,Freehold,https://www.propertyguru.com.my/property-listing/desa-tanjung-for-sale-by-tony-leong-60365806,"24 hours security, Playground, Retail stores, Swimming pool"
"RM 257,000","Jalan Saville, Puchong, Selangor","Listed on Aug 15, 2025 (52m ago)",969 sqft,2 Beds,2 Baths,Apartment,Freehold,https://www.propertyguru.com.my/property-listing/saville-d-lake-for-sale-by-alice-kuon-60365773,"Bbq, Cafes, Gym, Jogging track"
"RM 280,000","- Jalan Taman Kinrara 1/11, Puchong, Selangor","Listed on Aug 15, 2025 (54m ago)","1,050 sqft",3 Beds,2 Baths,Apartment,Leasehold,https://www.propertyguru.com.my/property-listing/palm-ville-for-sale-by-denson-yong-31707091,"24 hours security, Badminton hall, Bbq, Covered car park"
"RM 650,000","Jalan PJS 9/1, Bandar Sunway, Sunway, Selangor","Listed on Aug 15, 2025 (59m ago)","1,016 sqft",3 Beds,3 Baths,Completion: 2021,Leasehold,https://www.propertyguru.com.my/property-listing/d7-d-seven-lagoon-perdana-for-sale-by-melinda-goh-60341980,"24 hours security, Badminton hall, Gym, Multi-purpose hall"
"RM 213,000","Desa Mas Apartment, Rawang, Bandar Country Homes, Rawang, Selangor","Listed on Aug 15, 2025 (1h ago)",850 sqft,3 Beds,2 Baths,Apartment,Leasehold,https://www.propertyguru.com.my/property-listing/desa-mas-apartment-rawang-for-sale-by-andy-yap-34590841,Not Listed
"RM 310,000","- Jalan Bahagia 10, Cheras, Selangor","Listed on Aug 15, 2025 (1h ago)",900 sqft,3 Beds,2 Baths,Apartment,Freehold,https://www.propertyguru.com.my/property-listing/sri-bahagia-court-for-sale-by-najibah-sahari-500026304,"24 hours security, Bbq, Covered car park, Lounge"
"RM 469,000","- Jalan SS 17/1, SS17, Subang Jaya, Selangor","Listed on Aug 15, 2025 (1h ago)",915 sqft,3 Beds,2 Baths,Apartment,Freehold,https://www.propertyguru.com.my/property-listing/subang-jaya-lafite-for-sale-by-thomas-ngu-60365726,"24 hours security, Badminton hall, Bbq, Covered car park"
"RM 490,000","- Jalan SS 17/1, SS17, Subang Jaya, Selangor","Listed on Aug 15, 2025 (1h ago)",915 sqft,3 Beds,2 Baths,Apartment,Freehold,https://www.propertyguru.com.my/property-listing/subang-jaya-lafite-for-sale-by-thomas-ngu-60365723,"24 hours security, Badminton hall, Bbq, Covered car park"
"RM 350,000","- Jalan SS 17/1, SS17, Subang Jaya, Selangor","Listed on Aug 15, 2025 (1h ago)",915 sqft,3 Beds,2 Baths,Apartment,Freehold,https://www.propertyguru.com.my/property-listing/subang-jaya-lafite-for-sale-by-thomas-ngu-60365720,"24 hours security, Badminton hall, Bbq, Covered car park"
"RM 380,000","Jalan Datuk Jamil Rais 14/20, Seksyen 14, Petaling Jaya, Selangor","Listed on Aug 15, 2025 (1h ago)",861 sqft,2 Beds,2 Baths,Completion: 2017,Leasehold,https://www.propertyguru.com.my/property-listing/menara-bakti-for-sale-by-jessica-tai-yf-41675895,"24 hours security, Lounge, Nursery, Perimeter fencing"
"RM 350,000","Jalan Datuk Jamil Rais 14/20, Seksyen 14, Petaling Jaya, Selangor","Listed on Aug 15, 2025 (1h ago)",860 sqft,2 Beds,2 Baths,Completion: 2017,Leasehold,https://www.propertyguru.com.my/property-listing/menara-bakti-for-sale-by-jessica-tai-yf-500026232,"24 hours security, Lounge, Nursery, Perimeter fencing"
"RM 312,000","- Jalan Ilham U2/14, Taman TTDI Jaya, Shah Alam, Selangor","Listed on Aug 15, 2025 (1h ago)",850 sqft,3 Beds,2 Baths,Apartment,Freehold,https://www.propertyguru.com.my/property-listing/pangsapuri-jaya-for-sale-by-norfaizah-ahmad-60328940,"24 hours security, Badminton hall, Covered car park, Lounge"
"RM 245,000","Jalan Permai 4, Taman Puchong Permai, Taman Puchong Permai, Puchong, Selangor","Listed on Aug 15, 2025 (1h ago)",850 sqft,3 Beds,2 Baths,Apartment,Freehold,https://www.propertyguru.com.my/property-listing/puchong-permata-1-for-sale-by-norfaizah-ahmad-60357250,"Covered car park, Playground, Swimming pool, Wading pool"
"RM 310,000","- Jalan Bahagia 10, Cheras, Selangor","Listed on Aug 15, 2025 (1h ago)",900 sqft,3 Beds,2 Baths,Apartment,Freehold,https://www.propertyguru.com.my/property-listing/sri-bahagia-court-for-sale-by-norfaizah-ahmad-60357323,"24 hours security, Bbq, Covered car park, Lounge"
"RM 138,000","Jalan Pju 10/4C, Damansara Damai, Selangor","Listed on Aug 15, 2025 (1h ago)",650 sqft,3 Beds,2 Baths,Apartment,Leasehold,https://www.propertyguru.com.my/property-listing/apartment-harmoni-for-sale-by-norfaizah-ahmad-60356909,Surau (male & female)
"RM 250,000","- Jalan Pinggiran 1/1, Taman Pinggiran Putra, Seri Kembangan, Selangor","Listed on Aug 15, 2025 (1h ago)",550 sqft,2 Beds,1 Bath,Apartment,Leasehold,https://www.propertyguru.com.my/property-listing/pangsapuri-cemara-for-sale-by-ms-goh-60363677,"Bbq, Lounge, Nursery"
"RM 239,999","Jalan Utarid U5/9, Sungai Buloh, Selangor","Listed on Aug 15, 2025 (1h ago)",850 sqft,3 Beds,2 Baths,Apartment,Leasehold,https://www.propertyguru.com.my/property-listing/pangsapuri-mutiara-subang-for-sale-by-yubi-leong-500026204,"24 hours security, Parking, Playground, Swimming pool"
"RM 236,000","Jalan Pju 10/1C, Damansara Damai, Selangor","Listed on Aug 15, 2025 (1h ago)",850 sqft,3 Beds,2 Baths,Apartment,Leasehold,https://www.propertyguru.com.my/property-listing/saujana-apartment-for-sale-by-hairi-halim-500026199,"24 hours security, Covered car park, Laundry, Playground"
"RM 180,000","Jalan 51a/224 Jalan 224, Seksyen 51a, Petaling Jaya, Selangor","Listed on Aug 15, 2025 (1h ago)",650 sqft,3 Beds,2 Baths,Apartment,Leasehold,https://www.propertyguru.com.my/property-listing/impian-baiduri-for-sale-by-johnny-tai-39706625,Not Listed
"RM 125,000","- Jalan PJU 10/1, Damansara Damai, Selangor","Listed on Aug 15, 2025 (1h ago)",650 sqft,3 Beds,2 Baths,Apartment,Leasehold,https://www.propertyguru.com.my/property-listing/apartment-idaman-for-sale-by-johnny-tai-39705329,"Parking, Playground, Retail stores"
"RM 119,000","Jalan Pju 10/4C, Damansara Damai, Selangor","Listed on Aug 15, 2025 (1h ago)",650 sqft,3 Beds,2 Baths,Apartment,Leasehold,https://www.propertyguru.com.my/property-listing/apartment-harmoni-for-sale-by-johnny-tai-38826174,Surau (male & female)
"RM 250,000","- Jalan Intan 4, Taman Puchong Intan, Taman Puchong Intan, Puchong, Selangor","Listed on Aug 15, 2025 (1h ago)","1,000 sqft",3 Beds,2 Baths,Completion: 1990,Freehold,https://www.propertyguru.com.my/property-listing/intan-apartment-for-sale-by-johnny-tai-39708685,"24 hours security, Bbq, Covered car park, Jogging track"
"RM 245,000","- Jalan Puchong Permai 3, Taman Puchong Perdana, Puchong, Selangor","Listed on Aug 15, 2025 (1h ago)",752 sqft,3 Beds,2 Baths,Apartment,Leasehold,https://www.propertyguru.com.my/property-listing/permai-court-for-sale-by-johnny-tai-42109525,"Bbq, Covered car park, Jogging track, Lounge"
"RM 530,000","- Jalan Subang 1, Subang Jaya, Selangor","Listed on Aug 15, 2025 (1h ago)","1,300 sqft",4 Beds,2 Baths,Completion: 2009,Freehold,https://www.propertyguru.com.my/property-listing/impian-meridian-for-sale-by-hilson-chan-36068288,"24 hours security, Bbq, Cafes, Clubhouse"
"RM 370,000","- Jalan PJS 7/13, Bandar Sunway, Sunway, Selangor","Listed on Aug 15, 2025 (1h ago)",908 sqft,3 Beds,2 Baths,Apartment,Leasehold,https://www.propertyguru.com.my/property-listing/sunway-court-for-sale-by-hilson-chan-37535365,"24 hours security, Badminton hall, Covered car park, Lounge"
"RM 850,000","Jalan PJS 9/1 Jalan PJS 9/1, Off Sunway South Quay, Bandar Sunway, Sunway, Selangor","Listed on Aug 15, 2025 (1h ago)",865 sqft,2 Beds,2 Baths,Completion: 2020,Leasehold,https://www.propertyguru.com.my/property-listing/union-suites-for-sale-by-yeong-60299280,"24 hours security, Badminton hall, Bbq, Drop off point"
"RM 370,000","Jalan Seri Taming 2a Jalan Seri Taming 2a, Taman Koperasi Maju Jaya, Balakong, Selangor","Listed on Aug 15, 2025 (1h ago)","1,800 sqft",5 Beds,2 Baths,Apartment,Freehold,https://www.propertyguru.com.my/property-listing/taman-koperasi-maju-jaya-for-sale-by-yoke-han-60284035,"24 hours security, Retail stores"
"RM 648,000","Jalan BK5A/3, Bandar Kinrara, Selangor","Listed on Aug 15, 2025 (2h ago)",860 sqft,2 Beds,2 Baths,Completion: 2020,Freehold,https://www.propertyguru.com.my/property-listing/ten-kinrara-for-sale-by-rion-liew-43437069,"24 hours security, Gym, Parking, Playground"
"RM 198,000","- Jalan Kinrara Seksyen 3, Taman Kinrara, Bandar Kinrara, Selangor","Listed on Aug 15, 2025 (2h ago)",852 sqft,3 Beds,2 Baths,Completion: 2000,Leasehold,https://www.propertyguru.com.my/property-listing/vista-lavender-for-sale-by-rion-liew-60132659,"24 hours security, Bbq, Cafes, Clubhouse"
"RM 265,000","Persiaran Pandan 7, Pandan Jaya, Ampang, Selangor","Listed on Aug 15, 2025 (2h ago)",877 sqft,3 Beds,1 Bath,Apartment,Leasehold,https://www.propertyguru.com.my/property-listing/h6-apartment-for-sale-by-fiza-ibrahim-60365507,"24 hours security, Parking, Playground"
"RM 380,000","Jalan Kemajuan Subang, Subang Jaya, Selangor","Listed on Aug 15, 2025 (2h ago)",775 sqft,2 Beds,2 Baths,Completion: 2008,Freehold,https://www.propertyguru.com.my/property-listing/e-tiara-serviced-apartment-for-sale-by-y-h-lee-43113189,"24 hours security, Bbq, Cafes, Covered car park"
"RM 580,000","Jalan Persiaran You City, Cheras, Selangor","Listed on Aug 15, 2025 (2h ago)",893 sqft,3 Beds,2 Baths,Completion: 2023,Freehold,https://www.propertyguru.com.my/property-listing/you-city-3-for-sale-by-fm-hong-42823213,"24 hours security, Bbq, Gym, Playground"
"RM 105,000","Jalan Raya 7/1 Jalan Besar Serdang Lama, Serdang Lama, Seri Kembangan, Selangor","Listed on Aug 15, 2025 (2h ago)",700 sqft,3 Beds,2 Baths,Apartment,Leasehold,https://www.propertyguru.com.my/property-listing/anggerik-apartment-for-sale-by-lee-thai-chung-38899291,"Playground, Retail stores"
"RM 260,000","Jalan U6/20 Jalan Sungai Buloh, Shah Alam, Selangor","Listed on Aug 15, 2025 (2h ago)",550 sqft,2 Beds,2 Baths,Apartment,Freehold,https://www.propertyguru.com.my/property-listing/seiring-residensi-for-sale-by-sueann-low-60030988,"24 hours security, Badminton hall, Basketball court, Bbq"
"RM 260,000","Jalan U6/20 Jalan Sungai Buloh, Shah Alam, Selangor","Listed on Aug 15, 2025 (2h ago)",550 sqft,2 Beds,1 Bath,Apartment,Freehold,https://www.propertyguru.com.my/property-listing/seiring-residensi-for-sale-by-sueann-low-60030632,"24 hours security, Badminton hall, Basketball court, Bbq"
"RM 230,000","Jalan TE 5, Semenyih, Selangor","Listed on Aug 15, 2025 (2h ago)",914 sqft,3 Beds,2 Baths,Completion: 2007,Freehold,https://www.propertyguru.com.my/property-listing/the-residence-2-tiara-east-for-sale-by-gary-gan-40941508,"24 hours security, Gym, Jogging track, Parking"
"RM 270,000","- Jalan Rimba, Seri Kembangan, Selangor","Listed on Aug 15, 2025 (2h ago)","1,140 sqft",5 Beds,3 Baths,Completion: 2005,Freehold,https://www.propertyguru.com.my/property-listing/desaminium-rimba-for-sale-by-henry-soh-60013200,"24 hours security, Basketball court, Clubhouse, Jogging track"
"RM 268,000","- Jalan 14/3 Section 8, Taman Bukit Serdang, Seri Kembangan, Selangor","Listed on Aug 15, 2025 (2h ago)",850 sqft,3 Beds,2 Baths,Apartment,Freehold,https://www.propertyguru.com.my/property-listing/megaria-tulip-for-sale-by-tron-wan-33022401,"24 hours security, Covered car park, Playground, Swimming pool"
"RM 340,000","Persiaran Setia Indah, Setia Alam, Selangor","Listed on Aug 15, 2025 (3h ago)",904 sqft,3 Beds,2 Baths,Completion: 2020,Freehold,https://www.propertyguru.com.my/property-listing/de-bayu-apartment-for-sale-by-shahidan-ismail-60365315,"24 hours security, Gym, Jogging track, Playground"
"RM 178,000","Jalan Nipah Jalan Nipah Off Jalan Ampang, Ulu Kelang, Selangor","Listed on Aug 15, 2025 (3h ago)",660 sqft,3 Beds,2 Baths,Apartment,Leasehold,https://www.propertyguru.com.my/property-listing/pangsapuri-berembang-indah-for-sale-by-nichole-liew-32557588,"24 hours security, Basketball court, Covered car park, Playground"
"RM 450,000","Jalan Budiman 22/3, Seksyen 22, Shah Alam, Selangor","Listed on Aug 15, 2025 (3h ago)","1,162 sqft",3 Beds,3 Baths,Completion: 2016,Freehold,https://www.propertyguru.com.my/property-listing/v-residensi-2-for-sale-by-jason-tang-60365303,"24 hours security, Covered car park, Gym, Laundry"
"RM 310,000","Jalan Delima 4, Bandar Parklands, Klang, Selangor","Listed on Aug 15, 2025 (3h ago)",850 sqft,3 Beds,2 Baths,Completion: 2017,Freehold,https://www.propertyguru.com.my/property-listing/orchis-apartment-for-sale-by-kho-daniel-60365277,"24 hours security, Perimeter fencing, Playground"
"RM 378,000","Jalan Saville, Puchong, Selangor","Listed on Aug 15, 2025 (3h ago)","1,130 sqft",4 Beds,2 Baths,Apartment,Freehold,https://www.propertyguru.com.my/property-listing/saville-d-lake-for-sale-by-elvis-ho-60007640,"Bbq, Cafes, Gym, Jogging track"
"RM 165,000","- Jalan Aman Perdana 10E/KU5, Taman Aman Perdana, Kapar, Selangor","Listed on Aug 15, 2025 (3h ago)",650 sqft,3 Beds,2 Baths,Apartment,Freehold,https://www.propertyguru.com.my/property-listing/taman-aman-perdana-for-sale-by-shahidan-ismail-60365216,Surau (male & female)
"RM 303,000","Persiaran Rimba Permai, Cyberjaya, Selangor","Listed on Aug 15, 2025 (3h ago)",850 sqft,3 Beds,2 Baths,Apartment,Freehold,https://www.propertyguru.com.my/property-listing/masreca-n19eteen-for-sale-by-zf-chua-42606709,"24 hours security, Basketball court, Parking, Tennis courts"
"RM 150,000","Jalan Sri Ehsan 1 Jln Sri Ehsan 5, Taman Sri Ehsan, Kepong, Selangor","Listed on Aug 15, 2025 (3h ago)",800 sqft,3 Beds,2 Baths,Completion: 2013,Freehold,https://www.propertyguru.com.my/property-listing/sri-ehsan-for-sale-by-tiffany-meng-60348561,"24 hours security, Playground"
"RM 320,000","Jalan Pluto U5/138, Bandar Pinggiran Subang, Shah Alam, Selangor","Listed on Aug 15, 2025 (3h ago)",920 sqft,3 Beds,2 Baths,Apartment,Leasehold,https://www.propertyguru.com.my/property-listing/jasmin-apartment-for-sale-by-lidza-60365130,"24 hours security, Jogging track, Parking, Playground"
"RM 240,000","Jalan Pju 8/9, Damansara Perdana, Selangor","Listed on Aug 15, 2025 (3h ago)",850 sqft,3 Beds,2 Baths,Apartment,Leasehold,https://www.propertyguru.com.my/property-listing/flora-damansara-apartment-for-sale-by-shafiq-muttalib-500025903,24 hours security
"RM 260,000","Jalan Impian Putra 3/10, Taman Impian Putra, Bandar Seri Putra, Bangi, Selangor","Listed on Aug 15, 2025 (3h ago)",958 sqft,3 Beds,2 Baths,Completion: 2019,Leasehold,https://www.propertyguru.com.my/property-listing/vesta-view-for-sale-by-rashidah-juremi-60365149,"24 hours security, Bbq, Covered car park, Playground"
"RM 320,000","- Jalan Damar SD 15/6, Bandar Sri Damansara, Selangor","Listed on Aug 15, 2025 (3h ago)",830 sqft,3 Beds,2 Baths,Apartment,Freehold,https://www.propertyguru.com.my/property-listing/sd-tiara-apartment-for-sale-by-agnes-chee-60345546,"24 hours security, Covered car park, Playground, Retail stores"
"RM 398,000","Jalan Setia Gemilang U13/45B, Setia Alam, Selangor","Listed on Aug 15, 2025 (3h ago)",950 sqft,3 Beds,2 Baths,Completion: 2015,Freehold,https://www.propertyguru.com.my/property-listing/seri-kasturi-apartments-for-sale-by-chloe-tan-60327149,"24 hours security, Badminton hall, Cafes, Gym"
"RM 280,000","Persiaran Tropicana Heights 2, Kajang, Selangor","Listed on Aug 15, 2025 (3h ago)","1,023 sqft",3 Beds,3 Baths,Apartment,Freehold,https://www.propertyguru.com.my/property-listing/idaman-abadi-for-sale-by-rashidah-juremi-60365123,"24 hours security, Clubhouse, Covered car park, Gym"
"RM 320,000","Jalan Goodview 1, Bandar Kajang, Kajang, Selangor","Listed on Aug 15, 2025 (3h ago)","1,000 sqft",3 Beds,2 Baths,Apartment,Freehold,https://www.propertyguru.com.my/property-listing/villa-residence-for-sale-by-remy-lim-60339670,Not Listed
"RM 699,000","- , Jalan SS 23/8 Jalan SS 23/8, Petaling Jaya, Selangor","Listed on Aug 15, 2025 (3h ago)","1,500 sqft",4 Beds,2 Baths,Completion: 2008,,https://www.propertyguru.com.my/property-listing/laman-38-petaling-jaya-for-sale-by-vincent-tan-41133723,Parking
