Price,Location,Posted,Size (sqft),Bedrooms,Bathrooms,Property Type,Tenure,URL,Facilities
"RM 919,990","Jalan Gunung Semanggol, Taman Million, Jalan Ipoh, Kuala Lumpur","Listed on Jul 25, 2025 (2w ago)","2,400 sqft",6 Beds,4 Baths,Townhouse,Freehold,https://www.propertyguru.com.my/property-listing/jalan-ipoh-for-sale-by-kent-lau-43286141,Covered car park
"RM 1,500,000","Jalan 6/4, Taman Melawati, Ulu Kelang, Kuala Lumpur","Listed on Jul 25, 2025 (2w ago)","2,294 sqft (floor),",4 Beds,4 Baths,Townhouse,Freehold,https://www.propertyguru.com.my/property-listing/sunway-montana-for-sale-by-jagger-moo-39280066,"24 hours security, Clubhouse, Playground"
"RM 480,000","Mont Kiara, Kuala Lumpur","Listed on Aug 15, 2025 (3h ago)",766 sqft,2 Beds,2 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/condo-first-home-buyer-starting-480k-2-to-4-rooms-free-furnish-mrt-ktm-freehold-for-sale-by-eve-ma-60248723,"24 hours security, Badminton hall, Basketball court, Bbq"
"RM 3,650,000","1 Jalan Dutamas 1, Solaris Dutamas, Sri Hartamas, Kuala Lumpur","Listed on Aug 15, 2025 (16h ago)","4,906 sqft (floor),",5 Beds,6 Baths,Completion: 2007,Freehold,https://www.propertyguru.com.my/property-listing/duta-tropika-for-sale-by-clement-chan-34142549,"24 hours security, Gym, Jacuzzi, Multi-purpose hall"
"RM 3,490,000","1 Jalan Dutamas 1, Solaris Dutamas, Sri Hartamas, Kuala Lumpur","Listed on Aug 14, 2025 (19h ago)","4,000 sqft (floor),",6 Beds,5 Baths,Completion: 2007,Freehold,https://www.propertyguru.com.my/property-listing/duta-tropika-for-sale-by-sean-tan-43383876,"24 hours security, Gym, Jacuzzi, Multi-purpose hall"
"RM 1,270,000","Bandar Menjalara, Kuala Lumpur","Listed on Aug 14, 2025 (1d ago)","3,400 sqft (floor),",5 Beds,6 Baths,Completion: 2024,Freehold,https://www.propertyguru.com.my/property-listing/new-freehold-40x90-semi-d-2-sty-for-sale-by-yc-wong-37437666,"24 hours security, Bbq, Clubhouse, Covered car park"
"RM 3,880,000","Taman Tun Dr Ismail, Kuala Lumpur","Listed on Aug 14, 2025 (1d ago)","3,500 sqft (floor),",5 Beds,3 Baths,Semi-Detached House,,https://www.propertyguru.com.my/property-listing/taman-tun-dr-ismail-for-sale-by-yin-peng-42820033,Not Listed
"RM 560,000","Bukit Jalil Golf, Bukit Jalil, Kuala Lumpur","Listed on Aug 13, 2025 (1d ago)","1,859 sqft",4 Beds,4 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/freehold-penthouse-sky-semi-condo-bukit-jalil-kinrara-for-sale-by-harry-choong-43264747,"24 hours security, Badminton hall, Basketball court, Bbq"
"RM 530,000","Bukit Jalil Golf, Bukit Jalil, Kuala Lumpur","Listed on Aug 13, 2025 (1d ago)","1,644 sqft",4 Beds,3 Baths,Completion: 2026,,https://www.propertyguru.com.my/property-listing/big-l-shaped-balcony-bukit-jalil-low-density-link-bridge-to-mrt-cash-back-for-sale-by-harry-choong-60329695,"24 hours security, Badminton hall, Basketball court, Bbq"
"RM 400,000","Taman Connaught, Cheras, Kuala Lumpur","Listed on Aug 12, 2025 (3d ago)","1,000 sqft",3 Beds,2 Baths,Semi-Detached House,,https://www.propertyguru.com.my/property-listing/cheras-300k-fully-furnished-with-mrt-for-sale-by-zoey-wong-42633363,Not Listed
"RM 3,000,000","Jalan Dutamas Cempaka 1, Sri Hartamas, Kuala Lumpur","Listed on Aug 11, 2025 (3d ago)","4,000 sqft (floor),",7 Beds,6 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/changkat-kiara-for-sale-by-mohd-syahidie-42553031,"24 hours security, Covered car park, Jogging track, Playground"
