Price,Location,Posted,Size (sqft),Bedrooms,Bathrooms,Property Type,Tenure,URL
"RM 1,300,000","Jalan Ara SD 7/4F, Bandar Menjalara, Kuala Lumpur","Listed on Aug 13, 2025 (2d ago)","2,000 sqft (floor),",5 Beds,4 Baths,2.5-storey Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/ara-residence-sri-damansara-for-sale-by-azila-ismail-43415990
"RM 1,850,000","Jalan Setiajasa 1, Medan Damansara, Damansara Heights, Kuala Lumpur","Listed on Aug 13, 2025 (2d ago)","2,350 sqft (floor),",4 Beds,3 Baths,2-storey Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/jalan-setiajasa-damansara-heights-for-sale-by-wan-ch-60128845
"RM 660,000","Taman Intan Baiduri, Batu Caves, Kuala Lumpur","Listed on Aug 13, 2025 (2d ago)","1,760 sqft",4 Beds,3 Baths,2-storey Terraced House,Leasehold,https://www.propertyguru.com.my/property-listing/taman-intan-baiduri-for-sale-by-megan-wong-60315038
"RM 860,000","31 Jalan Budiman 10, Bandar Tun Razak, Cheras, Kuala Lumpur","Listed on Aug 12, 2025 (2d ago)","2,400 sqft (floor),",4 Beds,3 Baths,2-storey Terraced House,Leasehold,https://www.propertyguru.com.my/property-listing/taman-mulia-for-sale-by-annie-chai-42863620
"RM 1,980,000","KL City Centre, Kuala Lumpur","Listed on Aug 12, 2025 (2d ago)","3,756 sqft",6 Beds,5 Baths,Completion: 2025,99-year Leasehold,https://www.propertyguru.com.my/property-listing/d-brightton-residensi-tiara-titiwangsa-for-sale-by-irene-yap-60140185
"RM 3,200,000","Jalan Denai Selatan, Desa Parkcity, Kuala Lumpur","Listed on Aug 12, 2025 (3d ago)","2,400 sqft (floor),",3 Beds,4 Baths,Completion: 2006,Freehold,https://www.propertyguru.com.my/property-listing/southlake-desa-parkcity-for-sale-by-bryan-yeoh-60354198
"RM 2,099,999","Sunway SPK Damansara, Desa Parkcity, Daun Inai, Sunway Spk, Kuala Lumpur","Listed on Aug 12, 2025 (3d ago)","2,798 sqft (floor),",5 Beds,5 Baths,Completion: 2007,Freehold,https://www.propertyguru.com.my/property-listing/sunway-spk-for-sale-by-anthony-foong-60231156
"RM 500,000","Bukit Jalil Golf, Bukit Jalil, Kuala Lumpur","Listed on Aug 12, 2025 (3d ago)","1,300 sqft",3 Beds,2 Baths,2-storey Terraced House,,https://www.propertyguru.com.my/property-listing/sky-double-storey-in-bukit-jalil-from-rm500k-furnished-cashback-fast-complete-for-sale-by-leon-chia-42852811
"RM 900,000","Jalan Mutiara Barat 6, Taman Mutiara Barat, Cheras, Kuala Lumpur","Listed on Aug 12, 2025 (3d ago)","1,800 sqft (floor),",4 Beds,2 Baths,Completion: 1990,Freehold,https://www.propertyguru.com.my/property-listing/taman-mutiara-barat-for-sale-by-kent-fatt-43360452
"RM 1,450,000","Jalan Mutiara Timur 4, KL City Centre, Kuala Lumpur","Listed on Aug 12, 2025 (3d ago)","2,500 sqft (floor),",5 Beds,3 Baths,Terraced House,Leasehold,https://www.propertyguru.com.my/property-listing/taman-desa-aman-for-sale-by-kent-fatt-42581145
"RM 785,000","Taman Connaught, Taman Connaught, Cheras, Kuala Lumpur","Listed on Aug 12, 2025 (3d ago)","1,650 sqft (floor),",5 Beds,3 Baths,2-storey Terraced House,Leasehold,https://www.propertyguru.com.my/property-listing/taman-connaught-cheras-2-storey-terrace-house-for-sale-by-kent-fatt-60332443
"RM 650,000","Jalan Durian, Taman Cheras, Cheras, Kuala Lumpur","Listed on Aug 12, 2025 (3d ago)","1,800 sqft (floor),",4 Beds,3 Baths,Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/taman-cheras-for-sale-by-kent-fatt-60337522
"RM 760,000","Taman Bukit Maluri, Kepong, Kuala Lumpur","Listed on Aug 11, 2025 (3d ago)","1,760 sqft (floor),",3 Beds,2 Baths,1-storey Terraced House,,https://www.propertyguru.com.my/property-listing/taman-bukit-maluri-for-sale-by-alison-chiu-60139151
"RM 298,000","Mid Valley City, Kuala Lumpur","Listed on Aug 11, 2025 (3d ago)",968 sqft,2 Beds,2 Baths,1-storey Terraced House,,https://www.propertyguru.com.my/property-listing/super-cheap-midvalley-kl-lrt-mrt-link-2-3-rooms-monthly-rm1-2k-for-sale-by-kelly-ong-43037544
"RM 1,000,000","Jalan Damai Murni, Alam Damai, Cheras, Kuala Lumpur","Listed on Aug 11, 2025 (3d ago)","1,659 sqft (floor),",4 Beds,3 Baths,2-storey Terraced House,Leasehold,https://www.propertyguru.com.my/property-listing/2-storey-terrace-house-at-alam-damai-for-sale-by-nuraishah-binti-mohamed-azmi-60343158
"RM 4,500,000","Jalan Sri Hartamas 1, Taman Sri Hartamas, Sri Hartamas, Kuala Lumpur","Listed on Aug 11, 2025 (4d ago)","5,230 sqft",4 Beds,5 Baths,Completion: 2010,Freehold,https://www.propertyguru.com.my/property-listing/kh-villa-sri-hartamas-for-sale-by-kent-tan-39474304
"RM 1,175,000","Taman Segambut, Jalan Kuching, Kuala Lumpur","Listed on Aug 11, 2025 (4d ago)","3,124 sqft (floor),",5 Beds,5 Baths,3-storey Terraced House,Leasehold,https://www.propertyguru.com.my/property-listing/new-22-x70-3-storey-superlink-at-hilltop-with-greenery-ambience-for-sale-by-jolie-tan-43284682
"RM 398,000","Taman Bukit Angkasa, Kampung Kerinchi (Bangsar South), Kuala Lumpur","Listed on Aug 11, 2025 (4d ago)",938 sqft,3 Beds,2 Baths,2-storey Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/ready-to-move-in-condo-by-2026-free-furnished-0-d-p-extra-rebate-30-mid-valley-for-sale-by-berly-ting-60349585
"RM 430,000","Mid Valley City, Kuala Lumpur","Listed on Aug 11, 2025 (4d ago)",938 sqft,3 Beds,2 Baths,Completion: 2026,Freehold,https://www.propertyguru.com.my/property-listing/ready-to-move-in-condo-by-2026-free-furnished-0-d-p-extra-rebate-30-mid-valley-for-sale-by-berly-ting-60349578
"RM 1,180,000","Jalan Hujan Gerimis, Taman Overseas Union (Taman Oug), Jalan Klang Lama (Old Klang Road), Kuala Lumpur","Listed on Aug 11, 2025 (4d ago)","2,500 sqft (floor),",7 Beds,3 Baths,Completion: 1970,Freehold,https://www.propertyguru.com.my/property-listing/taman-oug-for-sale-by-shaun-chong-60105555
"RM 628,000","Jalan Riang 6, Jalan Klang Lama (Old Klang Road), Kuala Lumpur","Listed on Aug 11, 2025 (4d ago)","1,500 sqft (floor),",4 Beds,3 Baths,1-storey Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/happy-garden-for-sale-by-chin-sim-yok-42576893
"RM 2,600,000","Jalil Sutera, Bukit Jalil, Kuala Lumpur","Listed on Aug 11, 2025 (4d ago)","3,500 sqft (floor),",6 Beds,5 Baths,2.5-storey Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/jalil-sutera-for-sale-by-chin-sim-yok-42587456
"RM 2,088,888","Jalan 6/4, Taman Melawati, Ulu Kelang, Kuala Lumpur","Listed on Aug 10, 2025 (5d ago)","3,674 sqft (floor),",5 Beds,6 Baths,3-storey Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/sunway-montana-for-sale-by-eweng-poh-40722753
"RM 2,788,888","Residensi Laman Timur, Jalan Laman Timur, Desa Melawati, Taman Melawati, Ulu Kelang, Kuala Lumpur","Listed on Aug 10, 2025 (5d ago)","3,493 sqft (floor),",5 Beds,6 Baths,3-storey Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/kl-east-east-57-for-sale-by-eweng-poh-60244196
"RM 1,480,000","16 Sri Rampai, Jalan Desiran Bayu, Taman Setapak Jaya, Setapak, Kuala Lumpur","Listed on Aug 10, 2025 (5d ago)","3,300 sqft",5 Beds,6 Baths,Completion: 2014,Leasehold,https://www.propertyguru.com.my/property-listing/desiran-bayu-setapak-for-sale-by-jo-tan-60278711
"RM 1,800,000","18, Jalan Datuk Sulaiman 6, Taman Tun Dr Ismail, 60000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Taman Tun Dr Ismail, Kuala Lumpur","Listed on Aug 10, 2025 (5d ago)","1,800 sqft (floor),",4 Beds,3 Baths,2-storey Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/taman-tun-dr-ismail-datuk-sulaiman-for-sale-by-ali-idris-60343894
"RM 3,000,000","Desa Parkcity, Kuala Lumpur","Listed on Aug 08, 2025 (6d ago)","2,509 sqft",4 Beds,4 Baths,Completion: 2006,Freehold,https://www.propertyguru.com.my/property-listing/adora-for-sale-by-cassandra-thong-38810465
"RM 790,000","Jalan Bukit Setiawangsa, Taman Setiawangsa, Setiawangsa, Kuala Lumpur","Listed on Aug 08, 2025 (6d ago)","1,600 sqft (floor),",3 Beds,3 Baths,2-storey Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/bukit-setiawangsa-for-sale-by-shaziery-iskandar-60340576
"RM 950,000","Bandar Menjalara Taman Bukit Maluri Kepong, Bandar Menjalara, Kuala Lumpur","Listed on Aug 15, 2025 (5h ago)","2,200 sqft (floor),",4 Beds,3 Baths,2-storey Terraced House,Leasehold,https://www.propertyguru.com.my/property-listing/bandar-menjalara-for-sale-by-mandy-liew-500014713
"RM 2,200,000","Jalan Desa Utama, Taman Desa, Kuala Lumpur","Listed on Aug 15, 2025 (6h ago)","1,870 sqft",4 Beds,3 Baths,2-storey Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/taman-desa-for-sale-by-shimry-wong-60337620
"RM 1,550,000","Taman Tun Dr Ismail, Kuala Lumpur","Listed on Aug 14, 2025 (1d ago)","2,000 sqft (floor),",4 Beds,3 Baths,2-storey Terraced House,,https://www.propertyguru.com.my/property-listing/taman-tun-dr-ismail-for-sale-by-yin-peng-43409339
